Episode;Steps;Reward;Time
0;32;21;2020-07-19T22:43:31.491479
1;41;30;2020-07-19T22:43:47.824884
2;30;19;2020-07-19T22:43:58.161483
3;46;35;2020-07-19T22:44:08.903820
4;37;26;2020-07-19T22:44:20.015906
5;44;33;2020-07-19T22:44:31.980951
6;34;23;2020-07-19T22:45:02.409021
7;42;31;2020-07-19T22:45:21.839390
8;32;21;2020-07-19T22:45:40.095361
9;48;37;2020-07-19T22:46:00.322377
10;66;55;2020-07-19T22:46:34.874068
11;28;17;2020-07-19T22:47:05.177852
12;63;52;2020-07-19T22:47:39.353198
13;64;53;2020-07-19T22:48:13.462124
14;47;36;2020-07-19T22:48:40.830192
15;73;62;2020-07-19T22:49:13.050131
16;80;69;2020-07-19T22:49:49.126566
17;72;61;2020-07-19T22:50:24.334711
18;93;82;2020-07-19T22:51:01.829506
19;81;70;2020-07-19T22:51:26.832031
20;69;58;2020-07-19T22:51:53.592970
21;156;145;2020-07-19T22:52:33.467296
22;100;89;2020-07-19T22:53:11.793438
23;150;139;2020-07-19T22:53:48.120115
24;101;90;2020-07-19T22:54:26.501126
25;65;54;2020-07-19T22:55:00.933735
26;82;71;2020-07-19T22:55:37.140554
27;74;63;2020-07-19T22:56:12.575295
28;77;66;2020-07-19T22:56:48.315324
29;151;140;2020-07-19T22:57:31.666903
30;120;109;2020-07-19T22:58:11.940792
31;315;304;2020-07-19T22:59:13.919705
32;109;98;2020-07-19T22:59:53.163533
33;101;90;2020-07-19T23:00:35.987834
34;78;67;2020-07-19T23:01:11.868218
35;78;67;2020-07-19T23:01:47.721367
36;88;77;2020-07-19T23:02:24.157989
37;424;413;2020-07-19T23:03:31.738577
38;140;129;2020-07-19T23:04:28.086653
39;365;354;2020-07-19T23:05:34.740635
40;91;80;2020-07-19T23:06:12.059094
41;85;74;2020-07-19T23:06:47.035439
42;83;72;2020-07-19T23:07:23.267907
43;85;74;2020-07-19T23:07:59.537718
44;81;70;2020-07-19T23:08:35.208540
45;429;418;2020-07-19T23:09:54.942984
46;84;73;2020-07-19T23:10:31.503650
47;500;500;2020-07-19T23:11:53.678280
48;500;500;2020-07-19T23:13:15.993162
49;500;500;2020-07-19T23:14:38.541877
50;500;500;2020-07-19T23:16:00.232753
51;500;500;2020-07-19T23:17:22.405927
52;500;500;2020-07-19T23:18:44.828709
53;500;500;2020-07-19T23:20:11.553205
54;500;500;2020-07-19T23:21:33.382903
55;500;500;2020-07-19T23:22:44.868169
56;500;500;2020-07-19T23:24:04.283312
57;500;500;2020-07-19T23:25:26.872452
