Episode;Reward;Time
0;59;2020-07-15T22:13:56.322457
1;22;2020-07-15T22:14:13.337519
2;16;2020-07-15T22:14:25.626406
3;27;2020-07-15T22:14:37.461618
4;20;2020-07-15T22:14:50.387505
5;22;2020-07-15T22:15:02.829740
6;23;2020-07-15T22:15:33.751346
7;26;2020-07-15T22:16:05.029488
8;46;2020-07-15T22:16:38.494838
9;21;2020-07-15T22:17:09.096338
10;14;2020-07-15T22:17:38.891146
11;40;2020-07-15T22:18:11.396663
12;51;2020-07-15T22:18:45.369869
13;22;2020-07-15T22:19:16.214466
14;38;2020-07-15T22:19:48.828615
15;29;2020-07-15T22:20:20.472240
16;28;2020-07-15T22:20:51.973123
17;32;2020-07-15T22:21:23.883834
18;33;2020-07-15T22:21:55.964772
19;32;2020-07-15T22:22:27.714536
20;43;2020-07-15T22:23:00.832710
21;44;2020-07-15T22:23:34.045269
22;36;2020-07-15T22:24:06.379860
23;48;2020-07-15T22:24:40.070371
24;40;2020-07-15T22:25:12.825789
25;42;2020-07-15T22:25:45.675723
26;45;2020-07-15T22:26:19.052271
27;46;2020-07-15T22:26:55.633700
28;56;2020-07-15T22:27:30.196792
29;37;2020-07-15T22:28:02.720052
30;50;2020-07-15T22:28:36.676297
31;48;2020-07-15T22:29:10.339517
32;60;2020-07-15T22:29:45.356969
33;61;2020-07-15T22:30:20.446998
34;56;2020-07-15T22:30:55.022724
35;54;2020-07-15T22:31:29.358232
36;86;2020-07-15T22:32:07.158271
37;54;2020-07-15T22:32:41.386028
38;49;2020-07-15T22:33:15.203834
39;203;2020-07-15T22:34:05.896689
40;179;2020-07-15T22:34:53.943624
41;340;2020-07-15T22:36:06.715456
42;25;2020-07-15T22:39:28.722157
43;22;2020-07-15T22:39:59.562085
44;23;2020-07-15T22:40:30.519680
45;23;2020-07-15T22:41:01.474007
46;197;2020-07-15T22:41:51.398645
47;76;2020-07-15T22:42:27.188974
48;317;2020-07-15T22:43:30.314990
49;137;2020-07-15T22:44:13.712342
50;500;2020-07-15T22:45:35.582275
51;500;2020-07-15T22:46:57.475857
52;500;2020-07-15T22:48:25.215120
53;500;2020-07-15T22:49:45.302661
54;500;2020-07-15T22:51:07.361013
55;500;2020-07-15T22:52:29.412669
56;34;2020-07-15T22:53:31.397706
57;30;2020-07-15T22:54:03.128933
58;28;2020-07-15T22:54:34.652091
