Episode;Reward;Time
0;100;2020-07-14T12:13:02.269469
1;177;2020-07-14T12:13:25.363135
2;108;2020-07-14T12:13:41.102175
3;77;2020-07-14T12:13:53.527453
4;84;2020-07-14T12:14:06.693616
5;163;2020-07-14T12:14:29.326053
6;118;2020-07-14T12:15:10.676168
7;87;2020-07-14T12:15:48.530154
8;140;2020-07-14T12:16:30.918714
9;120;2020-07-14T12:17:12.404401
10;94;2020-07-14T12:17:50.684992
11;102;2020-07-14T12:18:30.195945
12;68;2020-07-14T12:19:06.061942
13;82;2020-07-14T12:19:43.402842
14;99;2020-07-14T12:20:22.340919
15;106;2020-07-14T12:21:02.127954
16;171;2020-07-14T12:21:49.265693
17;109;2020-07-14T12:22:29.513015
18;410;2020-07-14T12:23:42.805103
19;258;2020-07-14T12:24:39.365113
20;375;2020-07-14T12:25:48.711279
21;414;2020-07-14T12:27:02.442634
22;463;2020-07-14T12:28:21.456175
23;404;2020-07-14T12:29:34.092682
24;409;2020-07-14T12:30:47.259752
25;407;2020-07-14T12:32:00.053403
26;403;2020-07-14T12:33:12.572713
27;412;2020-07-14T12:34:25.916422
28;592;2020-07-14T12:35:57.256167
29;606;2020-07-14T12:37:31.635392
30;599;2020-07-14T12:39:05.660705
31;611;2020-07-14T12:40:41.005443
32;603;2020-07-14T12:42:15.523811
33;596;2020-07-14T12:43:48.895784
34;593;2020-07-14T12:45:21.965674
35;601;2020-07-14T12:46:56.261020
36;1000;2020-07-14T12:49:12.714779
37;1000;2020-07-14T12:51:29.350676
38;1000;2020-07-14T12:53:44.117234
39;1000;2020-07-14T12:56:00.627827
40;1000;2020-07-14T12:58:03.667386
