Episode;Reward;Time
0;335;2020-07-11T10:08:35.198247
1;155;2020-07-11T10:08:47.674447
2;322;2020-07-11T10:09:09.659157
3;306;2020-07-11T10:09:30.725420
4;153;2020-07-11T10:09:43.080361
5;138;2020-07-11T10:09:54.980535
6;115;2020-07-11T10:10:30.749725
7;137;2020-07-11T10:11:07.487555
8;227;2020-07-11T10:11:49.367690
9;172;2020-07-11T10:12:27.337268
10;201;2020-07-11T10:13:08.475199
11;230;2020-07-11T10:13:51.821429
12;192;2020-07-11T10:14:31.804558
13;386;2020-07-11T10:15:22.152471
14;354;2020-07-11T10:16:12.225659
15;232;2020-07-11T10:16:55.661541
16;360;2020-07-11T10:17:42.828712
17;270;2020-07-11T10:18:25.573514
18;211;2020-07-11T10:19:07.845592
19;219;2020-07-11T10:19:50.458834
20;289;2020-07-11T10:20:37.229748
21;284;2020-07-11T10:21:23.727673
22;235;2020-07-11T10:22:05.816875
23;262;2020-07-11T10:22:47.573433
24;60;2020-07-11T10:23:20.545143
