Episode;Reward;Time
0;382;2020-07-10T13:19:18.757977
1;240;2020-07-10T13:19:35.940608
2;269;2020-07-10T13:19:54.811785
3;279;2020-07-10T13:20:14.251535
4;297;2020-07-10T13:20:34.711443
5;141;2020-07-10T13:20:47.282461
6;233;2020-07-10T13:21:29.537820
7;271;2020-07-10T13:22:14.124588
8;237;2020-07-10T13:22:56.801941
9;202;2020-07-10T13:23:37.200363
10;134;2020-07-10T13:24:13.433721
11;377;2020-07-10T13:25:04.263986
12;190;2020-07-10T13:25:44.132101
13;222;2020-07-10T13:26:25.853447
14;318;2020-07-10T13:27:13.373676
15;217;2020-07-10T13:27:54.713742
16;219;2020-07-10T13:28:36.241034
17;254;2020-07-10T13:29:20.090871
18;350;2020-07-10T13:30:09.459362
19;173;2020-07-10T13:30:48.329977
20;152;2020-07-10T13:31:25.989411
21;168;2020-07-10T13:32:04.592863
22;196;2020-07-10T13:32:44.839682
23;170;2020-07-10T13:33:23.422990
24;137;2020-07-10T13:34:00.130939
25;157;2020-07-10T13:34:38.008811
26;181;2020-07-10T13:35:17.235189
27;203;2020-07-10T13:35:57.443267
28;205;2020-07-10T13:36:38.045303
29;120;2020-07-10T13:37:12.371997
30;126;2020-07-10T13:37:48.247209
31;105;2020-07-10T13:38:22.820617
32;102;2020-07-10T13:38:56.993342
33;98;2020-07-10T13:39:30.982640
34;91;2020-07-10T13:40:04.814922
35;93;2020-07-10T13:40:38.526656
36;85;2020-07-10T13:41:12.172493
37;92;2020-07-10T13:41:46.040079
38;73;2020-07-10T13:42:15.771214
39;97;2020-07-10T13:42:49.445960
40;107;2020-07-10T13:43:24.018967
41;102;2020-07-10T13:43:58.539599
42;524;2020-07-10T13:44:57.811064
43;871;2020-07-10T13:46:17.849482
44;876;2020-07-10T13:47:38.456396
45;493;2020-07-10T13:48:36.287157
46;1013;2020-07-10T13:50:05.167126
47;600;2020-07-10T13:51:09.284967
48;916;2020-07-10T13:52:31.991357
49;887;2020-07-10T13:53:52.017072
50;877;2020-07-10T13:55:12.382098
51;1102;2020-07-10T13:56:46.064038
52;999;2020-07-10T13:58:11.009639
53;992;2020-07-10T13:59:38.771322
54;2000;2020-07-10T14:02:05.405463
55;2000;2020-07-10T14:04:32.143996
56;2000;2020-07-10T14:06:58.543099
57;2000;2020-07-10T14:09:25.250444
58;2000;2020-07-10T14:11:51.927101
59;2000;2020-07-10T14:14:18.303517
60;1466;2020-07-10T14:16:14.052609
61;909;2020-07-10T14:17:36.693262
62;916;2020-07-10T14:18:59.926848
63;946;2020-07-10T14:20:24.380047
64;941;2020-07-10T14:21:48.602584
65;856;2020-07-10T14:23:07.880916
66;906;2020-07-10T14:24:30.283358
67;941;2020-07-10T14:25:54.470851
68;951;2020-07-10T14:27:19.071878
69;1862;2020-07-10T14:29:38.322409
