Episode;Reward;Time
0;143;2020-07-11T18:40:07.247654
1;151;2020-07-11T18:40:27.734483
2;114;2020-07-11T18:40:44.228698
3;112;2020-07-11T18:41:00.617811
4;66;2020-07-11T18:41:11.972306
5;117;2020-07-11T18:41:29.135055
6;82;2020-07-11T18:42:06.736410
7;92;2020-07-11T18:42:44.706985
8;89;2020-07-11T18:43:23.100618
9;108;2020-07-11T18:44:03.790029
10;87;2020-07-11T18:44:42.053240
11;141;2020-07-11T18:45:24.580198
12;106;2020-07-11T18:46:04.851985
13;91;2020-07-11T18:46:40.345981
14;113;2020-07-11T18:47:21.220067
15;104;2020-07-11T18:48:01.347217
16;94;2020-07-11T18:48:39.331892
17;140;2020-07-11T18:49:23.405363
18;92;2020-07-11T18:50:02.190221
19;77;2020-07-11T18:50:39.141802
20;76;2020-07-11T18:51:16.085068
21;89;2020-07-11T18:51:54.477817
22;64;2020-07-11T18:52:30.277019
23;72;2020-07-11T18:53:06.732554
24;65;2020-07-11T18:53:42.429631
25;81;2020-07-11T18:54:20.350622
26;82;2020-07-11T18:54:57.915472
27;70;2020-07-11T18:55:34.344242
28;66;2020-07-11T18:56:07.670016
29;99;2020-07-11T18:56:47.285732
30;310;2020-07-11T18:57:49.421566
31;366;2020-07-11T18:58:58.601766
32;364;2020-07-11T19:00:07.200103
33;424;2020-07-11T19:01:18.604063
34;302;2020-07-11T19:02:20.566349
35;391;2020-07-11T19:03:26.839798
36;432;2020-07-11T19:04:30.280093
37;330;2020-07-11T19:05:35.393159
38;381;2020-07-11T19:06:38.160675
39;413;2020-07-11T19:07:52.183621
40;373;2020-07-11T19:08:52.294966
41;394;2020-07-11T19:10:04.543533
42;421;2020-07-11T19:11:19.994755
43;398;2020-07-11T19:12:32.850289
44;404;2020-07-11T19:13:46.340513
45;420;2020-07-11T19:15:01.686655
46;371;2020-07-11T19:16:01.857148
47;373;2020-07-11T19:17:12.139299
48;677;2020-07-11T19:18:56.404354
49;411;2020-07-11T19:20:11.216156
50;679;2020-07-11T19:21:55.634079
51;1000;2020-07-11T19:24:14.035156
52;1000;2020-07-11T19:26:32.487045
53;1000;2020-07-11T19:28:42.116662
54;610;2020-07-11T19:30:18.112693
55;1000;2020-07-11T19:32:36.200373
56;1000;2020-07-11T19:34:53.678079
57;1000;2020-07-11T19:36:59.004823
58;695;2020-07-11T19:38:44.190272
59;1000;2020-07-11T19:41:01.926873
60;1000;2020-07-11T19:43:18.551585
61;600;2020-07-11T19:44:52.760204
62;1000;2020-07-11T19:47:10.808697
63;1000;2020-07-11T19:49:28.756741
64;1000;2020-07-11T19:51:46.729035
65;1000;2020-07-11T19:54:04.519511
66;1000;2020-07-11T19:56:22.249408
67;1000;2020-07-11T19:58:40.093470
68;1000;2020-07-11T20:00:57.945204
69;1000;2020-07-11T20:03:05.581064
