Episode;Reward;Time
0;128;2020-07-11T14:32:12.493082
1;91;2020-07-11T14:32:26.462711
2;152;2020-07-11T14:32:46.968623
3;107;2020-07-11T14:33:02.638741
4;109;2020-07-11T14:33:18.530797
5;96;2020-07-11T14:33:33.852310
6;73;2020-07-11T14:34:10.648094
7;113;2020-07-11T14:34:51.874869
8;91;2020-07-11T14:35:30.584636
9;62;2020-07-11T14:36:06.173477
10;82;2020-07-11T14:36:43.513383
11;126;2020-07-11T14:37:26.087047
12;126;2020-07-11T14:38:08.475002
13;113;2020-07-11T14:38:49.396483
14;160;2020-07-11T14:39:35.603529
15;90;2020-07-11T14:40:14.273891
16;186;2020-07-11T14:41:03.283255
17;145;2020-07-11T14:41:47.771532
18;92;2020-07-11T14:42:26.320132
19;69;2020-07-11T14:43:02.627048
20;157;2020-07-11T14:43:48.633694
21;136;2020-07-11T14:44:31.716680
22;117;2020-07-11T14:45:13.326319
23;70;2020-07-11T14:45:49.766019
24;124;2020-07-11T14:46:32.155833
25;136;2020-07-11T14:47:15.854540
26;73;2020-07-11T14:47:52.375776
27;85;2020-07-11T14:48:30.414542
28;123;2020-07-11T14:49:12.534719
29;61;2020-07-11T14:49:47.533229
30;64;2020-07-11T14:50:23.203098
31;100;2020-07-11T14:51:02.902622
32;173;2020-07-11T14:51:50.491698
33;527;2020-07-11T14:53:17.073878
34;336;2020-07-11T14:54:22.552568
35;324;2020-07-11T14:55:26.398224
36;326;2020-07-11T14:56:30.823934
37;361;2020-07-11T14:57:39.104099
38;433;2020-07-11T14:58:55.413230
39;376;2020-07-11T15:00:05.374953
40;522;2020-07-11T15:01:30.954990
41;522;2020-07-11T15:02:56.813803
42;529;2020-07-11T15:04:23.489480
43;520;2020-07-11T15:05:49.210649
44;501;2020-07-11T15:07:11.504149
45;515;2020-07-11T15:08:36.725698
46;505;2020-07-11T15:09:59.503469
47;504;2020-07-11T15:11:22.229407
48;516;2020-07-11T15:12:47.605783
49;510;2020-07-11T15:14:12.344824
50;512;2020-07-11T15:15:37.367836
51;519;2020-07-11T15:17:02.830673
52;507;2020-07-11T15:18:27.383879
53;507;2020-07-11T15:19:50.661558
54;519;2020-07-11T15:21:16.483663
55;512;2020-07-11T15:22:39.818579
56;519;2020-07-11T15:24:05.595927
57;534;2020-07-11T15:25:33.029934
58;538;2020-07-11T15:27:00.949963
59;601;2020-07-11T15:28:34.421904
60;1000;2020-07-11T15:30:50.286231
61;532;2020-07-11T15:32:17.476584
62;1000;2020-07-11T15:34:34.469839
63;1000;2020-07-11T15:36:51.604044
64;1000;2020-07-11T15:39:08.901487
65;692;2020-07-11T15:40:53.552257
66;1000;2020-07-11T15:43:09.499406
67;1000;2020-07-11T15:45:13.645739
68;1000;2020-07-11T15:47:30.333038
69;1000;2020-07-11T15:49:47.148207
