Episode;Reward;Time
0;103;2020-07-11T17:12:33.881155
1;91;2020-07-11T17:12:47.959798
2;108;2020-07-11T17:13:03.967461
3;132;2020-07-11T17:13:22.434371
4;119;2020-07-11T17:13:39.414061
5;110;2020-07-11T17:13:55.809871
6;107;2020-07-11T17:14:27.663149
7;96;2020-07-11T17:15:05.676476
8;91;2020-07-11T17:15:44.568192
9;104;2020-07-11T17:16:24.473709
10;88;2020-07-11T17:17:02.498956
11;75;2020-07-11T17:17:39.641018
12;162;2020-07-11T17:18:25.992460
13;79;2020-07-11T17:19:03.386580
14;84;2020-07-11T17:19:40.846435
15;104;2020-07-11T17:20:21.029547
16;111;2020-07-11T17:21:01.781467
17;228;2020-07-11T17:21:51.105352
18;117;2020-07-11T17:22:32.789790
19;176;2020-07-11T17:23:20.440814
20;92;2020-07-11T17:23:59.056659
21;68;2020-07-11T17:24:35.123102
22;69;2020-07-11T17:25:11.256728
23;61;2020-07-11T17:25:46.732218
24;57;2020-07-11T17:26:18.499304
25;81;2020-07-11T17:26:50.148959
26;152;2020-07-11T17:27:28.194562
27;534;2020-07-11T17:28:53.225399
28;533;2020-07-11T17:30:21.011934
29;542;2020-07-11T17:31:49.618822
30;508;2020-07-11T17:33:05.012879
31;500;2020-07-11T17:34:28.585305
32;509;2020-07-11T17:35:53.398683
33;502;2020-07-11T17:37:14.073394
34;509;2020-07-11T17:38:36.859206
35;502;2020-07-11T17:40:00.959935
36;508;2020-07-11T17:41:25.790700
37;496;2020-07-11T17:42:49.376225
38;507;2020-07-11T17:44:13.610324
39;497;2020-07-11T17:45:37.829883
40;507;2020-07-11T17:47:02.431170
41;505;2020-07-11T17:48:26.860415
42;495;2020-07-11T17:49:47.456127
43;494;2020-07-11T17:51:05.977122
44;508;2020-07-11T17:52:30.594977
45;515;2020-07-11T17:53:56.198115
46;512;2020-07-11T17:55:21.788277
47;509;2020-07-11T17:56:47.040448
48;507;2020-07-11T17:58:11.958842
49;519;2020-07-11T17:59:38.381898
50;515;2020-07-11T18:01:04.083266
51;521;2020-07-11T18:02:20.998305
52;512;2020-07-11T18:03:35.580470
53;507;2020-07-11T18:04:57.743333
54;1000;2020-07-11T18:07:17.221377
55;681;2020-07-11T18:09:01.371343
56;1000;2020-07-11T18:11:19.373041
57;696;2020-07-11T18:13:05.141801
58;1000;2020-07-11T18:15:23.059935
59;697;2020-07-11T18:17:08.737594
60;1000;2020-07-11T18:19:26.693115
61;1000;2020-07-11T18:21:33.228316
62;1000;2020-07-11T18:23:50.944931
63;1000;2020-07-11T18:26:08.586106
64;1000;2020-07-11T18:28:26.768784
65;1000;2020-07-11T18:30:43.125062
66;1000;2020-07-11T18:32:52.351593
67;1000;2020-07-11T18:35:10.285642
68;1000;2020-07-11T18:37:24.509879
69;1000;2020-07-11T18:39:35.451593
