Episode;Reward;Time
0;17;2020-07-12T17:05:37.466281
1;23;2020-07-12T17:05:50.094471
2;43;2020-07-12T17:06:23.657384
3;22;2020-07-12T17:06:37.097625
4;25;2020-07-12T17:06:45.721559
5;24;2020-07-12T17:06:55.343576
6;38;2020-07-12T17:07:27.239324
7;14;2020-07-12T17:07:55.859675
8;11;2020-07-12T17:08:21.535489
9;42;2020-07-12T17:08:42.110220
10;26;2020-07-12T17:09:11.861201
11;18;2020-07-12T17:09:41.238356
12;13;2020-07-12T17:10:08.536744
13;15;2020-07-12T17:10:37.322213
14;19;2020-07-12T17:11:07.885813
15;19;2020-07-12T17:11:29.801818
16;36;2020-07-12T17:11:57.802667
17;15;2020-07-12T17:12:27.216143
18;23;2020-07-12T17:12:53.452572
19;41;2020-07-12T17:13:24.576108
20;13;2020-07-12T17:13:51.257347
21;36;2020-07-12T17:14:19.514147
22;48;2020-07-12T17:14:50.276290
23;50;2020-07-12T17:15:21.434502
24;46;2020-07-12T17:15:54.027704
25;40;2020-07-12T17:17:40.194531
26;41;2020-07-12T17:18:07.666781
27;26;2020-07-12T17:18:35.240688
28;43;2020-07-12T17:19:05.411026
29;45;2020-07-12T17:19:31.392346
30;54;2020-07-12T17:19:58.624169
31;27;2020-07-12T17:20:27.227111
32;24;2020-07-12T17:20:50.390332
33;33;2020-07-12T17:21:22.345290
34;46;2020-07-12T17:21:54.759492
35;46;2020-07-12T17:22:23.445879
36;26;2020-07-12T17:22:52.184828
37;26;2020-07-12T17:23:22.022023
38;89;2020-07-12T17:23:59.095002
39;50;2020-07-12T17:24:31.577711
40;82;2020-07-12T17:25:09.017382
41;109;2020-07-12T17:25:37.434471
42;58;2020-07-12T17:26:06.598896
43;65;2020-07-12T17:26:32.624374
44;135;2020-07-12T17:27:11.337194
45;81;2020-07-12T17:27:45.557602
46;86;2020-07-12T17:28:23.321884
47;85;2020-07-12T17:29:00.412604
48;79;2020-07-12T17:29:28.364919
49;86;2020-07-12T17:30:05.970498
50;71;2020-07-12T17:30:37.736914
51;94;2020-07-12T17:31:16.035408
52;81;2020-07-12T17:31:49.621438
53;85;2020-07-12T17:32:24.022089
54;77;2020-07-12T17:32:58.976261
55;74;2020-07-12T17:33:35.505918
56;95;2020-07-12T17:34:13.854901
57;77;2020-07-12T17:34:50.553809
58;89;2020-07-12T17:35:27.962726
59;103;2020-07-12T17:36:06.500954
60;85;2020-07-12T17:36:43.281159
61;396;2020-07-12T17:37:55.614918
62;76;2020-07-12T17:38:29.198766
63;94;2020-07-12T17:39:08.141042
64;97;2020-07-12T17:39:47.290943
65;166;2020-07-12T17:40:33.536355
66;500;2020-07-12T17:42:18.512009
67;493;2020-07-12T17:43:38.688308
68;500;2020-07-12T17:45:04.235477
