Episode;Reward;Time
0;102;2020-07-12T12:59:30.995664
1;247;2020-07-12T13:00:01.792107
2;73;2020-07-12T13:00:13.857429
3;102;2020-07-12T13:00:29.081501
4;152;2020-07-12T13:00:49.660271
5;71;2020-07-12T13:01:02.367251
6;93;2020-07-12T13:01:29.077363
7;83;2020-07-12T13:01:54.783278
8;113;2020-07-12T13:02:23.726714
9;101;2020-07-12T13:02:51.060252
10;157;2020-07-12T13:03:24.828612
11;122;2020-07-12T13:03:54.744148
12;105;2020-07-12T13:04:22.730863
13;85;2020-07-12T13:04:48.630543
14;81;2020-07-12T13:05:13.983253
15;74;2020-07-12T13:05:38.477559
16;84;2020-07-12T13:06:04.228492
17;137;2020-07-12T13:06:35.785925
18;59;2020-07-12T13:06:58.774982
19;110;2020-07-12T13:07:27.367552
20;78;2020-07-12T13:07:52.557763
21;103;2020-07-12T13:08:20.465294
22;63;2020-07-12T13:08:43.818343
23;66;2020-07-12T13:09:07.507418
24;165;2020-07-12T13:09:42.147593
25;646;2020-07-12T13:11:09.926441
26;297;2020-07-12T13:11:59.163529
27;289;2020-07-12T13:12:47.609443
28;1000;2020-07-12T13:14:52.970870
29;294;2020-07-12T13:15:41.988566
30;293;2020-07-12T13:16:30.731719
31;560;2020-07-12T13:17:48.768597
32;543;2020-07-12T13:19:05.136394
33;1000;2020-07-12T13:21:10.850149
34;489;2020-07-12T13:22:20.857393
35;559;2020-07-12T13:23:37.302404
36;574;2020-07-12T13:24:57.082854
37;1000;2020-07-12T13:27:02.741240
38;1000;2020-07-12T13:29:08.166395
39;1000;2020-07-12T13:31:13.823508
40;1000;2020-07-12T13:33:19.555053
41;1000;2020-07-12T13:35:25.340533
42;1000;2020-07-12T13:37:31.099624
43;1000;2020-07-12T13:39:36.915953
44;1000;2020-07-12T13:41:42.728811
45;1000;2020-07-12T13:43:48.748728
46;1000;2020-07-12T13:45:54.859529
47;1000;2020-07-12T13:48:00.841522
48;1000;2020-07-12T13:50:06.627052
49;1000;2020-07-12T13:52:11.622763
