Episode;Reward;Time
0;248;2020-06-15T16:22:11.770054
1;71;2020-06-15T16:22:26.461576
2;160;2020-06-15T16:23:02.531532
3;117;2020-06-15T16:23:34.122510
4;191;2020-06-15T16:24:14.081151
5;161;2020-06-15T16:24:50.730183
6;197;2020-06-15T16:25:31.514849
7;223;2020-06-15T16:26:14.279668
8;124;2020-06-15T16:26:47.920607
9;97;2020-06-15T16:27:12.322580
10;248;2020-06-15T16:27:59.481138
11;84;2020-06-15T16:28:29.063027
12;107;2020-06-15T16:29:01.589948
13;182;2020-06-15T16:29:41.893813
14;198;2020-06-15T16:30:24.456668
15;114;2020-06-15T16:30:58.404956
16;139;2020-06-15T16:31:34.967129
17;113;2020-06-15T16:32:08.805779
18;187;2020-06-15T16:32:50.728315
19;88;2020-06-15T16:33:22.291236
20;156;2020-06-15T16:34:01.378979
21;107;2020-06-15T16:34:35.310564
22;114;2020-06-15T16:35:10.200870
23;81;2020-06-15T16:35:41.513421
24;97;2020-06-15T16:36:14.766440
25;102;2020-06-15T16:36:48.444066
26;121;2020-06-15T16:37:24.276228
27;124;2020-06-15T16:38:00.783297
28;118;2020-06-15T16:38:36.498100
29;285;2020-06-15T16:39:30.471884
30;200;2020-06-15T16:40:15.762701
31;165;2020-06-15T16:40:57.298511
32;160;2020-06-15T16:41:37.062578
33;118;2020-06-15T16:42:13.956264
34;111;2020-06-15T16:42:50.113995
35;109;2020-06-15T16:43:20.319816
36;132;2020-06-15T16:43:53.008080
37;114;2020-06-15T16:44:29.903080
38;134;2020-06-15T16:45:09.468999
39;171;2020-06-15T16:45:53.462798
40;247;2020-06-15T16:46:45.599466
41;128;2020-06-15T16:47:25.020775
42;202;2020-06-15T16:48:12.771081
43;188;2020-06-15T16:48:59.206459
44;362;2020-06-15T16:50:04.608642
45;186;2020-06-15T16:50:48.292311
46;134;2020-06-15T16:52:22.838939
47;127;2020-06-15T16:53:03.832199
48;113;2020-06-15T16:53:43.380762
49;153;2020-06-15T16:54:25.971810
50;157;2020-06-15T16:55:04.313524
51;152;2020-06-15T16:55:42.171552
52;116;2020-06-15T16:56:22.688829
53;91;2020-06-15T16:57:00.662994
54;122;2020-06-15T16:57:42.184773
55;89;2020-06-15T16:58:20.353148
56;184;2020-06-15T16:59:08.527215
57;235;2020-06-15T17:00:02.571815
58;129;2020-06-15T17:00:39.161060
59;144;2020-06-15T17:01:23.897839
60;153;2020-06-15T17:02:09.783207
61;142;2020-06-15T17:02:54.737609
62;151;2020-06-15T17:03:43.399571
63;106;2020-06-15T17:04:24.597624
64;139;2020-06-15T17:05:09.504971
65;124;2020-06-15T17:05:53.298887
66;139;2020-06-15T17:06:38.576643
67;158;2020-06-15T17:07:26.124675
68;128;2020-06-15T17:08:10.834331
69;117;2020-06-15T17:08:53.678071
70;123;2020-06-15T17:09:31.575572
71;106;2020-06-15T17:10:14.155916
72;127;2020-06-15T17:10:59.184592
73;104;2020-06-15T17:11:41.213780
74;107;2020-06-15T17:12:24.436654
75;126;2020-06-15T17:13:09.710780
76;93;2020-06-15T17:13:51.479337
77;120;2020-06-15T17:14:36.416154
78;100;2020-06-15T17:15:19.144181
79;136;2020-06-15T17:16:05.564860
80;94;2020-06-15T17:16:47.926468
81;134;2020-06-15T17:17:34.788395
82;148;2020-06-15T17:18:23.132401
83;150;2020-06-15T17:19:12.189603
84;143;2020-06-15T17:19:58.788649
85;179;2020-06-15T17:20:51.176474
86;144;2020-06-15T17:21:36.096113
87;212;2020-06-15T17:22:32.682307
88;174;2020-06-15T17:23:25.223698
89;219;2020-06-15T17:24:23.015944
90;142;2020-06-15T17:25:12.660683
91;152;2020-06-15T17:26:03.190968
