Episode;Reward;Time
0;178;2020-06-04T21:31:59.123106
1;145;2020-06-04T21:32:19.329935
2;153;2020-06-04T21:32:40.395487
3;250;2020-06-04T21:33:12.018022
4;119;2020-06-04T21:33:29.437728
5;102;2020-06-04T21:33:45.205410
6;179;2020-06-04T21:34:21.750078
7;161;2020-06-04T21:34:55.968422
8;179;2020-06-04T21:35:32.472993
9;330;2020-06-04T21:36:23.200721
10;389;2020-06-04T21:37:22.984526
11;948;2020-06-04T21:39:24.477426
12;337;2020-06-04T21:40:16.785956
13;343;2020-06-04T21:41:11.234623
14;297;2020-06-04T21:41:56.591928
15;396;2020-06-04T21:42:55.573744
16;472;2020-06-04T21:44:03.602647
17;459;2020-06-04T21:45:07.692616
18;949;2020-06-04T21:47:08.955439
19;1759;2020-06-04T21:50:39.619937
20;2000;2020-06-04T21:54:33.217318
21;383;2020-06-04T21:55:29.316271
22;400;2020-06-04T21:56:24.787422
23;401;2020-06-04T21:57:25.502698
24;383;2020-06-04T21:58:24.826729
25;386;2020-06-04T21:59:24.275323
26;393;2020-06-04T22:00:24.447696
27;368;2020-06-04T22:01:17.054289
28;377;2020-06-04T22:02:14.713246
29;396;2020-06-04T22:03:15.542345
30;2000;2020-06-04T22:07:11.464740
31;2000;2020-06-04T22:11:04.705485
32;960;2020-06-04T22:13:06.098668
33;2000;2020-06-04T22:17:01.228829
34;2000;2020-06-04T22:20:57.605919
35;2000;2020-06-04T22:24:53.958438
36;2000;2020-06-04T22:28:47.311747
37;2000;2020-06-04T22:32:43.514429
38;1665;2020-06-04T22:36:03.876866
39;2000;2020-06-04T22:40:01.030090
40;1102;2020-06-04T22:42:20.393295
41;2000;2020-06-04T22:46:17.520799
42;2000;2020-06-04T22:50:14.741188
43;2000;2020-06-04T22:54:11.930172
44;2000;2020-06-04T22:58:09.388040
45;2000;2020-06-04T23:02:05.607129
46;2000;2020-06-04T23:05:57.969438
47;2000;2020-06-04T23:09:54.924068
48;2000;2020-06-04T23:13:52.043302
49;2000;2020-06-04T23:17:49.740806
50;2000;2020-06-04T23:21:47.325283
51;2000;2020-06-04T23:25:44.795743
52;2000;2020-06-04T23:29:42.610822
53;395;2020-06-04T23:30:45.016977
54;2000;2020-06-04T23:34:36.256535
55;2000;2020-06-04T23:38:31.905324
56;2000;2020-06-04T23:42:25.033139
57;2000;2020-06-04T23:46:23.133107
58;2000;2020-06-04T23:50:21.086837
59;2000;2020-06-04T23:54:17.487791
