Episode;Reward;Time
0;165;2020-06-10T19:24:07.834750
1;142;2020-06-10T19:24:27.635663
2;110;2020-06-10T19:24:43.974557
3;116;2020-06-10T19:25:00.978746
4;149;2020-06-10T19:25:21.553718
5;113;2020-06-10T19:25:38.439642
6;102;2020-06-10T19:26:03.278633
7;106;2020-06-10T19:26:28.890781
8;221;2020-06-10T19:27:07.230621
9;431;2020-06-10T19:28:08.768287
10;225;2020-06-10T19:28:47.865086
11;441;2020-06-10T19:29:50.223847
12;163;2020-06-10T19:30:21.902789
13;472;2020-06-10T19:31:27.565711
14;275;2020-06-10T19:32:11.620440
15;444;2020-06-10T19:33:14.781292
16;412;2020-06-10T19:34:13.875743
17;378;2020-06-10T19:35:09.369979
18;418;2020-06-10T19:36:09.169012
19;420;2020-06-10T19:37:09.243832
20;429;2020-06-10T19:38:10.528568
21;441;2020-06-10T19:39:12.971446
22;460;2020-06-10T19:40:17.769115
23;424;2020-06-10T19:41:18.360750
24;442;2020-06-10T19:42:21.037797
25;436;2020-06-10T19:43:23.088588
26;437;2020-06-10T19:44:25.549897
27;443;2020-06-10T19:45:28.785015
28;423;2020-06-10T19:46:29.272516
29;438;2020-06-10T19:47:31.568140
30;444;2020-06-10T19:48:34.626475
31;439;2020-06-10T19:49:37.338926
32;466;2020-06-10T19:50:42.925040
33;443;2020-06-10T19:51:46.135875
34;485;2020-06-10T19:52:54.059453
35;479;2020-06-10T19:54:01.180862
36;474;2020-06-10T19:55:07.628910
37;495;2020-06-10T19:56:16.346473
38;458;2020-06-10T19:57:21.238157
39;391;2020-06-10T19:58:18.944007
40;452;2020-06-10T19:59:22.929407
41;436;2020-06-10T20:00:25.266209
42;440;2020-06-10T20:01:28.056618
43;434;2020-06-10T20:02:30.572232
44;436;2020-06-10T20:03:33.435136
45;530;2020-06-10T20:04:46.129677
46;437;2020-06-10T20:05:48.927355
47;606;2020-06-10T20:07:10.598473
48;440;2020-06-10T20:08:13.771439
49;426;2020-06-10T20:09:15.403576
50;438;2020-06-10T20:10:18.222905
51;429;2020-06-10T20:11:20.212023
52;478;2020-06-10T20:12:27.513027
53;428;2020-06-10T20:13:29.056937
54;484;2020-06-10T20:14:37.082703
55;423;2020-06-10T20:15:38.505386
56;446;2020-06-10T20:16:42.409496
57;482;2020-06-10T20:17:50.715730
58;607;2020-06-10T20:19:12.340485
59;513;2020-06-10T20:20:23.619784
