Episode;Reward;Time
0;168;2020-06-22T01:04:37.975195
1;-10;2020-06-22T01:04:40.197340
2;166;2020-06-22T01:05:01.308753
3;-10;2020-06-22T01:05:03.531889
4;161;2020-06-22T01:05:24.106911
5;110;2020-06-22T01:05:40.462387
6;100;2020-06-22T01:06:21.401012
7;85;2020-06-22T01:07:00.539959
8;50;2020-06-22T01:07:35.858107
9;40;2020-06-22T01:08:10.034952
10;133;2020-06-22T01:08:54.519522
11;91;2020-06-22T01:09:34.254684
12;66;2020-06-22T01:10:11.337301
13;93;2020-06-22T01:10:51.501518
14;156;2020-06-22T01:11:38.618433
15;70;2020-06-22T01:12:16.167099
16;93;2020-06-22T01:12:56.266881
17;111;2020-06-22T01:13:38.373635
18;120;2020-06-22T01:14:21.375508
19;81;2020-06-22T01:15:00.109614
20;107;2020-06-22T01:15:41.762777
21;89;2020-06-22T01:16:21.457745
