Episode;Reward;Time
0;-10;2020-06-12T17:11:57.861820
1;68;2020-06-12T17:12:11.729944
2;198;2020-06-12T17:12:41.989699
3;90;2020-06-12T17:13:08.354850
4;112;2020-06-12T17:13:40.893149
5;102;2020-06-12T17:14:16.801094
6;88;2020-06-12T17:14:51.261403
7;125;2020-06-12T17:15:29.538042
8;195;2020-06-12T17:16:15.403453
9;129;2020-06-12T17:16:54.984956
10;163;2020-06-12T17:17:38.044880
11;79;2020-06-12T17:18:11.714592
12;62;2020-06-12T17:18:43.814005
13;143;2020-06-12T17:19:24.439303
14;74;2020-06-12T17:19:57.764365
15;132;2020-06-12T17:20:37.303152
16;76;2020-06-12T17:21:10.920965
17;122;2020-06-12T17:21:49.303633
18;266;2020-06-12T17:22:43.274179
19;170;2020-06-12T17:23:27.152728
20;89;2020-06-12T17:24:02.102122
21;81;2020-06-12T17:24:36.327608
22;117;2020-06-12T17:25:14.340524
23;153;2020-06-12T17:25:56.379342
24;98;2020-06-12T17:26:32.397351
25;117;2020-06-12T17:27:10.670499
26;115;2020-06-12T17:27:48.810905
27;88;2020-06-12T17:28:24.136987
28;152;2020-06-12T17:29:06.126209
29;130;2020-06-12T17:29:45.859126
30;190;2020-06-12T17:30:31.974630
31;93;2020-06-12T17:31:07.691100
32;154;2020-06-12T17:31:50.081841
33;134;2020-06-12T17:32:30.533907
34;111;2020-06-12T17:33:08.406791
