Episode;Reward;Time
0;135;2020-06-18T15:20:28.329930
1;-10;2020-06-18T15:20:30.553036
2;154;2020-06-18T15:20:50.341320
3;-10;2020-06-18T15:20:52.563520
4;165;2020-06-18T15:21:13.415907
5;119;2020-06-18T15:21:30.692170
6;203;2020-06-18T15:22:08.903315
7;109;2020-06-18T15:22:36.388362
8;68;2020-06-18T15:22:59.064325
9;115;2020-06-18T15:23:26.559533
10;227;2020-06-18T15:24:06.211693
11;76;2020-06-18T15:24:26.057777
12;195;2020-06-18T15:24:59.933822
13;54;2020-06-18T15:25:21.478023
14;49;2020-06-18T15:25:42.033555
15;52;2020-06-18T15:26:02.166693
16;59;2020-06-18T15:26:24.239985
17;150;2020-06-18T15:26:56.051991
18;78;2020-06-18T15:27:20.457754
19;39;2020-06-18T15:27:40.361335
20;37;2020-06-18T15:28:00.105699
21;54;2020-06-18T15:28:21.847956
22;48;2020-06-18T15:28:41.439228
23;36;2020-06-18T15:29:01.070674
24;57;2020-06-18T15:29:23.089710
25;53;2020-06-18T15:29:44.543293
26;50;2020-06-18T15:30:05.782454
27;172;2020-06-18T15:30:40.443372
28;37;2020-06-18T15:31:00.244509
29;56;2020-06-18T15:31:22.289234
30;52;2020-06-18T15:31:43.841251
31;37;2020-06-18T15:32:03.346851
32;54;2020-06-18T15:32:25.037457
33;37;2020-06-18T15:32:44.783741
34;39;2020-06-18T15:33:04.450618
35;56;2020-06-18T15:33:26.468308
36;55;2020-06-18T15:33:48.428972
37;56;2020-06-18T15:34:10.332110
38;54;2020-06-18T15:34:32.098165
39;37;2020-06-18T15:34:51.716923
40;55;2020-06-18T15:35:13.390323
41;39;2020-06-18T15:35:33.090281
42;55;2020-06-18T15:35:54.894288
43;40;2020-06-18T15:36:14.701670
44;61;2020-06-18T15:36:37.304641
45;59;2020-06-18T15:36:59.670830
46;42;2020-06-18T15:37:19.954653
47;39;2020-06-18T15:37:39.570859
48;55;2020-06-18T15:38:01.261205
49;54;2020-06-18T15:38:23.046895
50;37;2020-06-18T15:38:42.667824
51;54;2020-06-18T15:39:04.340555
52;54;2020-06-18T15:39:26.032986
53;36;2020-06-18T15:39:45.595390
54;54;2020-06-18T15:40:07.295604
55;52;2020-06-18T15:40:28.770566
56;36;2020-06-18T15:40:48.404450
57;37;2020-06-18T15:41:07.886262
58;53;2020-06-18T15:41:29.464520
59;37;2020-06-18T15:41:48.975139
60;37;2020-06-18T15:42:08.411240
61;35;2020-06-18T15:42:27.888105
62;36;2020-06-18T15:42:47.368754
63;53;2020-06-18T15:43:08.823111
64;51;2020-06-18T15:43:30.198841
65;36;2020-06-18T15:43:49.710097
66;52;2020-06-18T15:44:11.205992
67;51;2020-06-18T15:44:32.621590
68;51;2020-06-18T15:44:54.119100
