Episode;Reward;Time
0;81;2020-06-01T03:39:54.834345
1;171;2020-06-01T03:40:17.715672
2;90;2020-06-01T03:40:31.887486
3;103;2020-06-01T03:40:47.436599
4;329;2020-06-01T03:41:27.378616
5;117;2020-06-01T03:41:44.682289
6;108;2020-06-01T03:42:09.172358
7;88;2020-06-01T03:42:28.095184
8;101;2020-06-01T03:42:49.649384
9;127;2020-06-01T03:43:18.620033
10;115;2020-06-01T03:43:46.158253
11;382;2020-06-01T03:44:43.094593
12;401;2020-06-01T03:45:41.956731
13;652;2020-06-01T03:47:08.271720
14;672;2020-06-01T03:48:36.422878
15;685;2020-06-01T03:50:05.896964
16;796;2020-06-01T03:51:47.552750
17;710;2020-06-01T03:53:19.803339
18;805;2020-06-01T03:55:02.525140
19;634;2020-06-01T03:56:26.909830
20;795;2020-06-01T03:58:08.728429
21;223;2020-06-01T03:58:47.861391
22;179;2020-06-01T03:59:22.354421
23;813;2020-06-01T04:01:06.289954
24;1248;2020-06-01T04:03:37.751574
25;362;2020-06-01T04:04:29.804834
26;1245;2020-06-01T04:06:59.025067
27;806;2020-06-01T04:08:42.478277
28;1248;2020-06-01T04:11:12.638440
29;1243;2020-06-01T04:13:40.867297
30;817;2020-06-01T04:15:25.670676
31;659;2020-06-01T04:16:53.238488
32;1132;2020-06-01T04:19:12.501687
33;1279;2020-06-01T04:21:47.674542
34;1116;2020-06-01T04:24:05.619930
35;636;2020-06-01T04:25:30.654499
36;638;2020-06-01T04:26:56.210020
37;1291;2020-06-01T04:29:33.349231
38;1266;2020-06-01T04:32:07.068269
39;1088;2020-06-01T04:34:21.832512
40;533;2020-06-01T04:35:35.643273
41;1118;2020-06-01T04:37:53.843130
42;745;2020-06-01T04:39:31.111378
43;645;2020-06-01T04:40:57.570855
44;1386;2020-06-01T04:43:45.512224
45;1248;2020-06-01T04:46:18.409717
46;340;2020-06-01T04:47:11.873091
47;1254;2020-06-01T04:49:44.433442
48;1667;2020-06-01T04:53:03.330070
49;1645;2020-06-01T04:56:19.407830
50;1229;2020-06-01T04:58:50.090097
51;1231;2020-06-01T05:01:20.859701
52;1273;2020-06-01T05:03:56.497528
53;1240;2020-06-01T05:06:28.186136
54;1244;2020-06-01T05:09:00.450130
55;1232;2020-06-01T05:11:30.558553
56;1213;2020-06-01T05:13:59.063899
57;240;2020-06-01T05:14:41.710233
58;1211;2020-06-01T05:17:05.593910
59;1238;2020-06-01T05:19:32.540368
