Episode;Reward;Time
0;275;2020-07-09T04:22:27.997175
1;338;2020-07-09T04:22:51.956756
2;237;2020-07-09T04:23:34.593770
3;211;2020-07-09T04:24:15.348143
4;147;2020-07-09T04:24:52.699015
5;268;2020-07-09T04:25:34.950408
6;259;2020-07-09T04:26:15.293126
7;221;2020-07-09T04:26:56.909247
8;231;2020-07-09T04:27:39.491197
9;223;2020-07-09T04:28:21.551377
10;186;2020-07-09T04:29:00.972766
11;166;2020-07-09T04:29:39.124201
12;160;2020-07-09T04:30:16.933949
13;150;2020-07-09T04:30:54.085961
14;247;2020-07-09T04:31:37.159076
15;172;2020-07-09T04:32:05.889387
16;128;2020-07-09T04:32:32.305635
17;271;2020-07-09T04:33:17.321389
18;169;2020-07-09T04:33:52.831998
19;186;2020-07-09T04:34:32.619629
20;239;2020-07-09T04:35:15.225964
21;375;2020-07-09T04:36:03.650216
22;262;2020-07-09T04:36:45.960729
23;147;2020-07-09T04:37:19.465063
24;98;2020-07-09T04:37:54.045419
25;77;2020-07-09T04:38:19.754068
26;131;2020-07-09T04:38:53.450197
27;129;2020-07-09T04:39:29.787327
28;130;2020-07-09T04:39:58.597497
29;227;2020-07-09T04:40:39.003577
30;189;2020-07-09T04:41:16.108386
31;146;2020-07-09T04:41:53.436483
32;135;2020-07-09T04:42:29.044937
33;110;2020-07-09T04:43:04.178673
34;106;2020-07-09T04:43:39.036162
35;118;2020-07-09T04:44:14.532247
36;99;2020-07-09T04:44:47.488305
37;104;2020-07-09T04:45:22.451992
38;110;2020-07-09T04:45:47.140235
39;101;2020-07-09T04:46:20.316595
40;99;2020-07-09T04:46:45.461108
41;154;2020-07-09T04:47:22.973255
42;163;2020-07-09T04:48:01.293161
43;204;2020-07-09T04:48:41.715663
44;550;2020-07-09T04:49:36.354542
45;729;2020-07-09T04:50:48.577996
46;436;2020-07-09T04:51:38.597340
47;717;2020-07-09T04:52:50.325144
48;873;2020-07-09T04:54:11.126168
49;372;2020-07-09T04:55:01.882286
50;966;2020-07-09T04:56:28.409499
51;1000;2020-07-09T04:57:56.310222
52;657;2020-07-09T04:59:04.427249
53;721;2020-07-09T05:00:16.286645
54;1000;2020-07-09T05:01:38.701687
55;1000;2020-07-09T05:03:05.682740
56;1000;2020-07-09T05:04:32.879639
57;1000;2020-07-09T05:05:59.848241
58;626;2020-07-09T05:07:05.072450
59;603;2020-07-09T05:08:09.657187
60;688;2020-07-09T05:09:19.023748
61;607;2020-07-09T05:10:23.553646
62;871;2020-07-09T05:11:43.452389
63;1000;2020-07-09T05:13:11.416740
64;1000;2020-07-09T05:14:38.912047
65;599;2020-07-09T05:15:43.207133
66;1000;2020-07-09T05:17:10.699872
67;1000;2020-07-09T05:18:38.042264
68;1000;2020-07-09T05:20:05.347792
69;1000;2020-07-09T05:21:32.608902
