Episode;Reward;Time
0;-4;2020-06-17T21:02:36.077317
1;-8;2020-06-17T21:02:39.612781
2;-10;2020-06-17T21:02:42.938759
3;-10;2020-06-17T21:02:46.264415
4;-8;2020-06-17T21:02:49.799187
5;-10;2020-06-17T21:02:53.969846
6;-10;2020-06-17T21:03:21.882094
7;-5;2020-06-17T21:03:50.862453
8;-10;2020-06-17T21:04:19.171885
9;-10;2020-06-17T21:04:47.635007
10;-10;2020-06-17T21:05:16.124079
11;-10;2020-06-17T21:05:44.407244
12;-10;2020-06-17T21:06:12.902031
13;-10;2020-06-17T21:06:41.351275
14;75;2020-06-17T21:07:19.019720
15;-10;2020-06-17T21:07:47.447130
16;33;2020-06-17T21:08:20.550107
