Episode;Reward;Time
0;123;2020-06-01T23:31:26.073638
1;106;2020-06-01T23:31:41.975127
2;95;2020-06-01T23:31:56.702602
3;105;2020-06-01T23:32:12.505304
4;109;2020-06-01T23:32:28.764030
5;192;2020-06-01T23:32:54.301966
6;105;2020-06-01T23:33:20.275201
7;104;2020-06-01T23:33:46.757524
8;115;2020-06-01T23:34:13.698097
9;233;2020-06-01T23:34:53.971498
10;215;2020-06-01T23:35:27.682793
11;139;2020-06-01T23:35:57.963242
12;281;2020-06-01T23:36:43.676476
13;283;2020-06-01T23:37:24.159786
14;298;2020-06-01T23:38:11.872484
15;309;2020-06-01T23:39:00.809584
16;323;2020-06-01T23:39:51.121745
17;413;2020-06-01T23:40:51.234854
18;788;2020-06-01T23:42:31.747582
19;355;2020-06-01T23:43:26.076184
20;361;2020-06-01T23:44:20.184062
21;368;2020-06-01T23:45:15.502313
22;358;2020-06-01T23:46:09.574071
23;370;2020-06-01T23:47:04.951119
24;1941;2020-06-01T23:50:52.156216
25;362;2020-06-01T23:51:46.856045
26;361;2020-06-01T23:52:41.534909
27;927;2020-06-01T23:54:38.218039
28;939;2020-06-01T23:56:31.627890
29;382;2020-06-01T23:57:26.385049
30;372;2020-06-01T23:58:22.695695
31;929;2020-06-02T00:00:15.557242
32;268;2020-06-02T00:00:57.898517
33;387;2020-06-02T00:01:55.554126
34;360;2020-06-02T00:02:49.593081
35;361;2020-06-02T00:03:44.690923
36;1108;2020-06-02T00:06:01.569867
37;363;2020-06-02T00:06:57.144863
38;901;2020-06-02T00:08:51.387768
39;1970;2020-06-02T00:12:42.997306
40;811;2020-06-02T00:14:27.632303
41;904;2020-06-02T00:16:22.234641
42;935;2020-06-02T00:18:19.951510
43;659;2020-06-02T00:19:47.672470
44;926;2020-06-02T00:21:44.492127
45;1951;2020-06-02T00:25:33.995897
46;1958;2020-06-02T00:29:24.423060
47;1773;2020-06-02T00:32:51.577587
48;641;2020-06-02T00:34:18.231322
49;983;2020-06-02T00:36:21.761440
50;905;2020-06-02T00:38:17.008013
51;1968;2020-06-02T00:42:09.027425
52;1961;2020-06-02T00:46:00.422761
53;1983;2020-06-02T00:49:54.034607
54;1978;2020-06-02T00:53:47.469561
55;364;2020-06-02T00:54:43.583376
56;921;2020-06-02T00:56:41.074650
57;906;2020-06-02T00:58:36.837338
58;1968;2020-06-02T01:02:29.499521
59;935;2020-06-02T01:04:28.743698
60;1960;2020-06-02T01:08:20.263205
61;716;2020-06-02T01:09:55.760348
62;1941;2020-06-02T01:13:45.302336
63;1965;2020-06-02T01:17:37.750978
64;1941;2020-06-02T01:21:27.286999
65;1961;2020-06-02T01:25:19.102894
66;1932;2020-06-02T01:29:07.726558
67;349;2020-06-02T01:30:03.323972
68;1954;2020-06-02T01:33:54.567929
69;1973;2020-06-02T01:37:48.209226
