Episode;Reward;Time
0;154;2020-06-04T15:36:06.372738
1;117;2020-06-04T15:36:23.523329
2;146;2020-06-04T15:36:43.813655
3;150;2020-06-04T15:37:04.574559
4;197;2020-06-04T15:37:30.446486
5;82;2020-06-04T15:37:43.987592
6;122;2020-06-04T15:38:13.730355
7;95;2020-06-04T15:38:40.303605
8;188;2020-06-04T15:39:16.913610
9;70;2020-06-04T15:39:40.278235
10;89;2020-06-04T15:40:05.920704
11;92;2020-06-04T15:40:31.833115
12;87;2020-06-04T15:40:57.628879
13;325;2020-06-04T15:41:49.256601
14;151;2020-06-04T15:42:20.981100
15;221;2020-06-04T15:43:01.241411
16;320;2020-06-04T15:43:52.511710
17;331;2020-06-04T15:44:44.867229
18;324;2020-06-04T15:45:36.661022
19;372;2020-06-04T15:46:33.728725
20;365;2020-06-04T15:47:29.320057
21;396;2020-06-04T15:48:26.636232
22;709;2020-06-04T15:50:00.795526
23;438;2020-06-04T15:51:04.544474
24;441;2020-06-04T15:52:08.366560
25;1007;2020-06-04T15:54:14.436215
26;967;2020-06-04T15:56:17.286210
27;921;2020-06-04T15:58:14.939497
28;2000;2020-06-04T16:02:10.128673
29;2000;2020-06-04T16:06:04.957407
30;2000;2020-06-04T16:09:59.991435
31;2000;2020-06-04T16:13:55.256774
32;2000;2020-06-04T16:17:50.432652
33;408;2020-06-04T16:18:51.896477
34;408;2020-06-04T16:19:53.535410
35;2000;2020-06-04T16:23:47.960947
36;377;2020-06-04T16:24:46.264232
37;2000;2020-06-04T16:28:41.593214
38;2000;2020-06-04T16:32:37.456990
39;1750;2020-06-04T16:36:02.331467
40;963;2020-06-04T16:38:02.746978
41;2000;2020-06-04T16:41:58.943751
42;2000;2020-06-04T16:45:54.451528
43;2000;2020-06-04T16:49:49.977025
44;2000;2020-06-04T16:53:45.964211
45;2000;2020-06-04T16:57:41.996947
46;2000;2020-06-04T17:01:38.378651
47;2000;2020-06-04T17:05:34.945843
48;391;2020-06-04T17:06:34.241925
49;2000;2020-06-04T17:10:30.799687
50;394;2020-06-04T17:11:31.593007
51;2000;2020-06-04T17:15:28.181102
52;2000;2020-06-04T17:19:24.866861
53;383;2020-06-04T17:20:25.618392
54;399;2020-06-04T17:21:27.208145
55;376;2020-06-04T17:22:27.120580
56;386;2020-06-04T17:23:28.090805
57;391;2020-06-04T17:24:28.382991
58;2000;2020-06-04T17:28:19.343545
59;956;2020-06-04T17:30:22.818774
