Episode;Reward;Time
0;117;2020-06-01T05:20:02.690327
1;134;2020-06-01T05:20:21.591845
2;79;2020-06-01T05:20:34.565802
3;142;2020-06-01T05:20:54.243084
4;125;2020-06-01T05:21:12.206571
5;72;2020-06-01T05:21:24.581561
6;90;2020-06-01T05:21:48.511372
7;54;2020-06-01T05:22:07.115899
8;70;2020-06-01T05:22:24.078280
9;140;2020-06-01T05:22:49.073430
10;81;2020-06-01T05:23:09.396276
11;107;2020-06-01T05:23:35.683194
12;129;2020-06-01T05:24:04.539993
13;390;2020-06-01T05:25:02.195477
14;416;2020-06-01T05:26:03.096311
15;621;2020-06-01T05:27:21.663405
16;642;2020-06-01T05:28:46.723756
17;256;2020-06-01T05:29:28.351080
18;427;2020-06-01T05:30:29.834062
19;630;2020-06-01T05:31:53.899311
20;653;2020-06-01T05:33:20.013737
21;171;2020-06-01T05:33:53.900065
22;647;2020-06-01T05:35:20.168234
23;1110;2020-06-01T05:37:36.976942
24;1238;2020-06-01T05:40:07.609840
25;393;2020-06-01T05:41:05.844258
26;483;2020-06-01T05:42:13.948156
27;681;2020-06-01T05:43:43.641119
28;814;2020-06-01T05:45:28.136194
29;412;2020-06-01T05:46:28.736698
30;677;2020-06-01T05:47:54.200210
31;685;2020-06-01T05:49:24.705340
32;1651;2020-06-01T05:52:36.998710
33;1659;2020-06-01T05:55:54.501945
34;803;2020-06-01T05:57:35.542550
35;921;2020-06-01T05:59:32.174268
36;1245;2020-06-01T06:02:04.086306
37;667;2020-06-01T06:03:32.699646
38;656;2020-06-01T06:05:00.375961
39;1253;2020-06-01T06:07:33.397839
40;1165;2020-06-01T06:09:56.491086
41;1231;2020-06-01T06:12:26.851348
42;1248;2020-06-01T06:14:59.233038
43;1225;2020-06-01T06:17:29.433702
44;1235;2020-06-01T06:20:00.056971
45;808;2020-06-01T06:21:44.424720
46;1685;2020-06-01T06:25:04.994478
47;787;2020-06-01T06:26:46.839109
48;1405;2020-06-01T06:29:36.770202
49;788;2020-06-01T06:31:19.186747
50;1225;2020-06-01T06:33:49.283970
51;783;2020-06-01T06:35:31.487566
52;1236;2020-06-01T06:38:03.365633
53;1230;2020-06-01T06:40:34.442770
54;1236;2020-06-01T06:43:06.774060
55;648;2020-06-01T06:44:33.983798
56;651;2020-06-01T06:45:59.288511
57;1196;2020-06-01T06:48:26.711662
58;1210;2020-06-01T06:50:55.922275
59;657;2020-06-01T06:52:24.442874
