Episode;Reward;Time
0;119;2020-06-12T15:08:37.124712
1;104;2020-06-12T15:08:54.920688
2;105;2020-06-12T15:09:15.225541
3;98;2020-06-12T15:09:35.838526
4;107;2020-06-12T15:09:58.435855
5;133;2020-06-12T15:10:24.256752
6;119;2020-06-12T15:10:48.614985
7;121;2020-06-12T15:11:13.546965
8;219;2020-06-12T15:11:48.702292
9;105;2020-06-12T15:12:11.669843
10;202;2020-06-12T15:12:45.171942
11;116;2020-06-12T15:13:09.423932
12;117;2020-06-12T15:13:33.821183
13;91;2020-06-12T15:13:55.434276
14;102;2020-06-12T15:14:18.267951
15;104;2020-06-12T15:14:41.329228
16;93;2020-06-12T15:15:03.220720
17;100;2020-06-12T15:15:25.938697
18;138;2020-06-12T15:15:52.784901
19;73;2020-06-12T15:16:12.633721
20;86;2020-06-12T15:16:34.033574
21;131;2020-06-12T15:17:00.155369
22;132;2020-06-12T15:17:26.459337
23;92;2020-06-12T15:17:48.553118
24;99;2020-06-12T15:18:11.307210
25;182;2020-06-12T15:18:43.045447
26;103;2020-06-12T15:19:06.317490
27;106;2020-06-12T15:19:29.953773
28;122;2020-06-12T15:19:55.405911
29;183;2020-06-12T15:20:27.406864
30;217;2020-06-12T15:21:03.090685
31;64;2020-06-12T15:21:22.255285
32;117;2020-06-12T15:21:47.233301
33;129;2020-06-12T15:22:13.683092
34;87;2020-06-12T15:22:35.463611
35;131;2020-06-12T15:23:02.130348
36;152;2020-06-12T15:23:31.058577
37;92;2020-06-12T15:23:53.526479
38;181;2020-06-12T15:24:25.624398
39;252;2020-06-12T15:25:05.418338
40;88;2020-06-12T15:25:27.531542
41;141;2020-06-12T15:25:55.450192
42;142;2020-06-12T15:26:23.496604
43;295;2020-06-12T15:27:08.070593
44;59;2020-06-12T15:27:27.259520
45;91;2020-06-12T15:27:50.057573
46;200;2020-06-12T15:28:24.461304
47;298;2020-06-12T15:29:09.507470
48;81;2020-06-12T15:29:31.312092
49;156;2020-06-12T15:30:02.097888
50;108;2020-06-12T15:30:27.182242
51;92;2020-06-12T15:30:50.485910
52;185;2020-06-12T15:31:23.520999
53;195;2020-06-12T15:31:58.026011
54;186;2020-06-12T15:32:31.339585
55;117;2020-06-12T15:32:57.261110
56;107;2020-06-12T15:33:22.079745
57;162;2020-06-12T15:33:52.862822
58;103;2020-06-12T15:34:17.312961
59;124;2020-06-12T15:34:44.095228
60;98;2020-06-12T15:35:08.168851
61;81;2020-06-12T15:35:30.473739
62;218;2020-06-12T15:36:07.478878
63;225;2020-06-12T15:36:45.307306
64;109;2020-06-12T15:37:10.614266
65;105;2020-06-12T15:37:35.588616
66;140;2020-06-12T15:38:04.641780
67;220;2020-06-12T15:38:42.658143
68;121;2020-06-12T15:39:09.448780
69;153;2020-06-12T15:39:39.700826
70;167;2020-06-12T15:40:11.525389
71;130;2020-06-12T15:40:39.489705
72;88;2020-06-12T15:41:02.831063
73;121;2020-06-12T15:41:29.878460
74;147;2020-06-12T15:41:59.814367
75;111;2020-06-12T15:42:25.748442
76;106;2020-06-12T15:42:51.235922
77;146;2020-06-12T15:43:20.992513
78;123;2020-06-12T15:43:48.303926
79;110;2020-06-12T15:44:14.329963
80;121;2020-06-12T15:44:41.565091
81;79;2020-06-12T15:45:04.223668
82;225;2020-06-12T15:45:42.751098
83;150;2020-06-12T15:46:13.172581
84;108;2020-06-12T15:46:39.219041
85;109;2020-06-12T15:47:05.269190
86;130;2020-06-12T15:47:33.630235
87;86;2020-06-12T15:47:57.282977
88;99;2020-06-12T15:48:22.401515
89;240;2020-06-12T15:49:03.058899
90;77;2020-06-12T15:49:25.927494
91;202;2020-06-12T15:50:02.292104
92;96;2020-06-12T15:50:27.224807
93;122;2020-06-12T15:50:54.917166
94;104;2020-06-12T15:51:20.721913
95;95;2020-06-12T15:51:45.675967
96;135;2020-06-12T15:52:14.994801
97;124;2020-06-12T15:52:43.160474
98;211;2020-06-12T15:53:21.920436
99;166;2020-06-12T15:53:54.630524
100;119;2020-06-12T15:54:22.405275
101;114;2020-06-12T15:54:49.604945
102;259;2020-06-12T15:55:32.377053
103;80;2020-06-12T15:55:55.952659
104;98;2020-06-12T15:56:21.568425
105;64;2020-06-12T15:56:43.654768
106;113;2020-06-12T15:57:10.921124
107;125;2020-06-12T15:57:39.541040
108;178;2020-06-12T15:58:13.884933
109;147;2020-06-12T15:58:44.878116
