Episode;Reward;Time
0;164;2020-06-22T01:17:52.854979
1;101;2020-06-22T01:18:07.979490
2;135;2020-06-22T01:18:26.749732
3;133;2020-06-22T01:18:45.307029
4;113;2020-06-22T01:19:01.723475
5;90;2020-06-22T01:19:16.825809
6;158;2020-06-22T01:19:53.471661
7;71;2020-06-22T01:20:20.603670
8;124;2020-06-22T01:20:53.364749
9;124;2020-06-22T01:21:26.342220
10;95;2020-06-22T01:21:56.088732
11;111;2020-06-22T01:22:27.454150
12;105;2020-06-22T01:22:58.109776
13;76;2020-06-22T01:23:25.768905
14;51;2020-06-22T01:23:50.720725
15;57;2020-06-22T01:24:16.041527
16;189;2020-06-22T01:24:55.767535
17;76;2020-06-22T01:25:22.865282
18;89;2020-06-22T01:25:51.815104
19;156;2020-06-22T01:26:28.053863
20;55;2020-06-22T01:26:53.245353
21;49;2020-06-22T01:27:16.951785
22;50;2020-06-22T01:27:41.387605
23;159;2020-06-22T01:28:17.822927
24;78;2020-06-22T01:28:45.596418
25;89;2020-06-22T01:29:14.455243
26;104;2020-06-22T01:29:44.713010
27;293;2020-06-22T01:30:36.120244
28;197;2020-06-22T01:31:16.215712
29;150;2020-06-22T01:31:51.970628
30;122;2020-06-22T01:32:24.785680
31;113;2020-06-22T01:32:56.662072
