Episode;Reward;Time
0;49;2020-07-12T19:46:58.762677
1;86;2020-07-12T19:47:12.147796
2;133;2020-07-12T19:47:30.551588
3;82;2020-07-12T19:47:43.522621
4;178;2020-07-12T19:48:06.762664
5;98;2020-07-12T19:48:22.301139
6;85;2020-07-12T19:48:58.181091
7;218;2020-07-12T19:49:50.629545
8;121;2020-07-12T19:50:32.537397
9;93;2020-07-12T19:51:11.370054
10;162;2020-07-12T19:51:57.751134
11;87;2020-07-12T19:52:26.213641
12;95;2020-07-12T19:52:55.031979
13;100;2020-07-12T19:53:34.578774
14;98;2020-07-12T19:54:13.951345
15;135;2020-07-12T19:54:57.199142
16;77;2020-07-12T19:55:34.122198
17;89;2020-07-12T19:56:07.244344
18;91;2020-07-12T19:56:33.080052
19;94;2020-07-12T19:57:12.011973
20;103;2020-07-12T19:57:52.098558
21;80;2020-07-12T19:58:29.610980
22;74;2020-07-12T19:59:06.275059
23;67;2020-07-12T19:59:42.640067
24;74;2020-07-12T20:00:12.724246
25;90;2020-07-12T20:00:50.998073
26;74;2020-07-12T20:01:27.344296
27;62;2020-07-12T20:02:01.213585
28;146;2020-07-12T20:02:45.838272
29;268;2020-07-12T20:03:42.273212
30;279;2020-07-12T20:04:41.223533
31;283;2020-07-12T20:05:34.788815
32;284;2020-07-12T20:06:29.395642
33;267;2020-07-12T20:07:27.589928
34;243;2020-07-12T20:08:17.702063
35;251;2020-07-12T20:09:10.363274
36;257;2020-07-12T20:10:07.352558
37;238;2020-07-12T20:10:59.258976
38;263;2020-07-12T20:11:50.620349
39;253;2020-07-12T20:12:42.477719
40;262;2020-07-12T20:13:30.987732
41;277;2020-07-12T20:14:27.264463
42;268;2020-07-12T20:15:25.564610
43;290;2020-07-12T20:16:21.638554
44;291;2020-07-12T20:17:22.496824
45;281;2020-07-12T20:18:21.841059
46;272;2020-07-12T20:19:20.663899
47;293;2020-07-12T20:20:21.361357
48;286;2020-07-12T20:21:21.540506
49;280;2020-07-12T20:22:14.361536
