Episode;Reward;Time
0;65;2020-07-12T22:13:23.002447
1;99;2020-07-12T22:13:37.812773
2;96;2020-07-12T22:13:52.306111
3;100;2020-07-12T22:14:07.235465
4;90;2020-07-12T22:14:21.085402
5;87;2020-07-12T22:14:34.908655
6;134;2020-07-12T22:15:18.228665
7;71;2020-07-12T22:15:55.520824
8;64;2020-07-12T22:16:31.923640
9;84;2020-07-12T22:17:06.624891
10;132;2020-07-12T22:17:50.654709
11;91;2020-07-12T22:18:29.096723
12;92;2020-07-12T22:19:08.659634
13;66;2020-07-12T22:19:45.264858
14;116;2020-07-12T22:20:26.877027
15;159;2020-07-12T22:21:13.685974
16;231;2020-07-12T22:22:07.109143
17;125;2020-07-12T22:22:49.935300
18;78;2020-07-12T22:23:23.985177
19;66;2020-07-12T22:23:50.691571
20;65;2020-07-12T22:24:20.975667
21;80;2020-07-12T22:24:57.901106
22;65;2020-07-12T22:25:34.200296
23;75;2020-07-12T22:26:08.241639
24;94;2020-07-12T22:26:46.079852
25;73;2020-07-12T22:27:23.454636
26;95;2020-07-12T22:28:03.294757
27;250;2020-07-12T22:29:00.065391
28;293;2020-07-12T22:29:58.513673
29;518;2020-07-12T22:31:22.650007
30;531;2020-07-12T22:32:48.527924
31;529;2020-07-12T22:34:16.113611
32;280;2020-07-12T22:35:16.348501
33;307;2020-07-12T22:36:18.612283
34;275;2020-07-12T22:37:10.723469
35;518;2020-07-12T22:38:29.654354
36;294;2020-07-12T22:39:22.495717
37;275;2020-07-12T22:40:22.140105
38;269;2020-07-12T22:41:20.571652
39;505;2020-07-12T22:42:45.442432
40;284;2020-07-12T22:43:45.503496
41;288;2020-07-12T22:44:41.171599
42;276;2020-07-12T22:45:40.178057
43;266;2020-07-12T22:46:28.928509
44;280;2020-07-12T22:47:28.898056
45;272;2020-07-12T22:48:26.141345
46;262;2020-07-12T22:49:22.000107
47;270;2020-07-12T22:50:21.008257
48;292;2020-07-12T22:51:22.236870
49;287;2020-07-12T22:52:19.616372
