Episode;Reward;Time
0;136;2020-07-12T21:01:11.028995
1;108;2020-07-12T21:01:26.806332
2;261;2020-07-12T21:01:58.996573
3;73;2020-07-12T21:02:11.018456
4;86;2020-07-12T21:02:24.451494
5;104;2020-07-12T21:02:40.123194
6;96;2020-07-12T21:03:18.652313
7;114;2020-07-12T21:03:59.753179
8;63;2020-07-12T21:04:34.732612
9;163;2020-07-12T21:05:18.447510
10;78;2020-07-12T21:05:55.777422
11;90;2020-07-12T21:06:32.259431
12;117;2020-07-12T21:07:13.999460
13;75;2020-07-12T21:07:51.089012
14;71;2020-07-12T21:08:27.564677
15;150;2020-07-12T21:09:12.909653
16;205;2020-07-12T21:10:03.462146
17;86;2020-07-12T21:10:38.087127
18;73;2020-07-12T21:11:14.350013
19;67;2020-07-12T21:11:50.462970
20;65;2020-07-12T21:12:26.456039
21;59;2020-07-12T21:13:01.795498
22;59;2020-07-12T21:13:37.078113
23;59;2020-07-12T21:14:08.836662
24;62;2020-07-12T21:14:36.291311
