Episode;Steps;Reward;Time
0;65;54;2020-07-20T00:00:56.745026
1;34;23;2020-07-20T00:01:10.930010
2;36;25;2020-07-20T00:01:20.701084
3;32;21;2020-07-20T00:01:29.653076
4;33;22;2020-07-20T00:01:38.753308
5;73;62;2020-07-20T00:01:57.740873
6;37;26;2020-07-20T00:02:17.231893
7;38;27;2020-07-20T00:02:36.664202
8;35;24;2020-07-20T00:02:55.986006
9;52;41;2020-07-20T00:03:17.176755
10;51;40;2020-07-20T00:03:38.356897
11;29;18;2020-07-20T00:03:55.637611
12;25;14;2020-07-20T00:04:14.116428
13;27;16;2020-07-20T00:04:32.520832
14;54;43;2020-07-20T00:04:53.785336
15;59;48;2020-07-20T00:05:15.532652
16;54;43;2020-07-20T00:05:36.852346
17;79;68;2020-07-20T00:06:00.991444
18;51;40;2020-07-20T00:06:20.981566
19;50;39;2020-07-20T00:06:41.825757
20;44;33;2020-07-20T00:08:08.818614
21;52;41;2020-07-20T00:08:47.765325
22;44;33;2020-07-20T00:09:06.706991
23;44;33;2020-07-20T00:09:27.032305
24;39;28;2020-07-20T00:09:46.876738
25;39;28;2020-07-20T00:10:06.805063
26;42;31;2020-07-20T00:10:30.720431
27;49;38;2020-07-20T00:10:51.294432
28;63;52;2020-07-20T00:11:13.210408
29;59;48;2020-07-20T00:11:35.036469
30;82;71;2020-07-20T00:11:59.365970
31;70;59;2020-07-20T00:12:22.547539
32;69;58;2020-07-20T00:12:45.507781
33;37;26;2020-07-20T00:13:05.094137
34;32;21;2020-07-20T00:13:23.921017
35;29;18;2020-07-20T00:13:42.546768
36;114;103;2020-07-20T00:14:10.870857
37;121;110;2020-07-20T00:14:39.683761
38;33;22;2020-07-20T00:14:58.723731
39;75;64;2020-07-20T00:15:22.600354
40;72;61;2020-07-20T00:15:46.059703
41;79;68;2020-07-20T00:16:10.213398
42;69;58;2020-07-20T00:16:33.194451
43;62;51;2020-07-20T00:16:55.683986
44;75;64;2020-07-20T00:17:19.181614
45;69;58;2020-07-20T00:17:42.416598
46;148;137;2020-07-20T00:18:14.088157
47;174;163;2020-07-20T00:18:46.662951
48;72;61;2020-07-20T00:19:09.343000
49;474;463;2020-07-20T00:20:17.309879
50;62;51;2020-07-20T00:20:42.647097
51;73;62;2020-07-20T00:21:05.990923
52;252;241;2020-07-20T00:21:49.269115
53;210;199;2020-07-20T00:22:47.860807
54;40;29;2020-07-20T00:23:07.502872
55;47;36;2020-07-20T00:23:27.891876
56;51;40;2020-07-20T00:23:49.016937
57;252;241;2020-07-20T00:24:30.359505
58;500;500;2020-07-20T00:25:41.252562
59;500;500;2020-07-20T00:26:51.985458
60;451;440;2020-07-20T00:27:57.533167
61;500;500;2020-07-20T00:29:08.622530
62;500;500;2020-07-20T00:30:19.077670
63;341;330;2020-07-20T00:31:12.288893
64;74;63;2020-07-20T00:31:40.338338
65;495;484;2020-07-20T00:32:50.787304
66;83;72;2020-07-20T00:33:25.196481
67;500;500;2020-07-20T00:34:36.191401
68;500;500;2020-07-20T00:35:46.480739
69;46;35;2020-07-20T00:36:04.256044
70;404;393;2020-07-20T00:37:04.187396
71;216;205;2020-07-20T00:37:43.616825
72;166;155;2020-07-20T00:38:16.960234
73;500;500;2020-07-20T00:39:27.959142
