Episode;Steps;Reward;Time
0;80;69;2020-07-19T00:48:04.610139
1;88;77;2020-07-19T00:48:17.286792
2;103;92;2020-07-19T00:48:31.613887
3;78;67;2020-07-19T00:48:43.195608
4;161;150;2020-07-19T00:49:03.892038
5;102;91;2020-07-19T00:49:18.558638
6;72;61;2020-07-19T00:49:54.456189
7;100;89;2020-07-19T00:50:32.670268
8;95;84;2020-07-19T00:51:09.875368
9;85;74;2020-07-19T00:51:39.785706
10;116;105;2020-07-19T00:52:17.599872
11;92;81;2020-07-19T00:52:53.567943
12;90;79;2020-07-19T00:53:30.987154
13;77;66;2020-07-19T00:54:07.382546
14;82;71;2020-07-19T00:54:44.384123
15;81;70;2020-07-19T00:55:19.718104
16;85;74;2020-07-19T00:55:57.163660
17;93;82;2020-07-19T00:56:34.913423
18;248;237;2020-07-19T00:57:27.736972
19;198;187;2020-07-19T00:58:17.444791
20;238;227;2020-07-19T00:59:09.641257
21;225;214;2020-07-19T00:59:59.703810
22;220;209;2020-07-19T01:00:52.080655
23;217;206;2020-07-19T01:01:40.697912
24;217;206;2020-07-19T01:02:27.601153
25;223;212;2020-07-19T01:03:11.508291
26;224;213;2020-07-19T01:04:04.217441
27;233;222;2020-07-19T01:04:57.566653
