Episode;Steps;Reward;Time
0;139;128;2020-07-19T17:48:24.138851
1;125;114;2020-07-19T17:48:40.847262
2;83;72;2020-07-19T17:48:52.953224
3;115;104;2020-07-19T17:49:08.574455
4;144;133;2020-07-19T17:49:27.373452
5;78;67;2020-07-19T17:49:39.172257
6;141;130;2020-07-19T17:50:22.173061
7;111;100;2020-07-19T17:51:01.179457
8;140;129;2020-07-19T17:51:43.827037
9;119;108;2020-07-19T17:52:22.251661
10;152;141;2020-07-19T17:53:03.460185
11;158;147;2020-07-19T17:53:46.708562
12;99;88;2020-07-19T17:54:24.575110
13;71;60;2020-07-19T17:54:59.206784
14;237;226;2020-07-19T17:55:51.580771
15;236;225;2020-07-19T17:56:42.879175
16;282;271;2020-07-19T17:57:35.568892
17;218;207;2020-07-19T17:58:26.032530
18;201;190;2020-07-19T17:59:13.346299
19;208;197;2020-07-19T18:00:01.016609
20;379;368;2020-07-19T18:01:11.095881
21;1000;1000;2020-07-19T18:03:30.971035
22;1000;1000;2020-07-19T18:05:50.245236
23;1000;1000;2020-07-19T18:08:04.518845
24;1000;1000;2020-07-19T18:10:21.779347
25;1000;1000;2020-07-19T18:12:30.808367
26;1000;1000;2020-07-19T18:14:50.616798
27;1000;1000;2020-07-19T18:17:09.938497
28;1000;1000;2020-07-19T18:19:31.389232
29;1000;1000;2020-07-19T18:21:41.290553
30;1000;1000;2020-07-19T18:24:01.963810
31;1000;1000;2020-07-19T18:26:22.951717
32;1000;1000;2020-07-19T18:28:43.326235
