Episode;Steps;Reward;Time
0;130;119;2020-07-19T15:01:41.173089
1;146;135;2020-07-19T15:02:00.085484
2;90;79;2020-07-19T15:02:12.912234
3;134;123;2020-07-19T15:02:30.535373
4;89;78;2020-07-19T15:02:43.258702
5;111;100;2020-07-19T15:02:59.233031
6;125;114;2020-07-19T15:03:40.472890
7;112;101;2020-07-19T15:04:20.278511
8;70;59;2020-07-19T15:04:55.417959
9;73;62;2020-07-19T15:05:30.843343
10;82;71;2020-07-19T15:06:07.261637
11;149;138;2020-07-19T15:06:51.207974
12;169;158;2020-07-19T15:07:35.943482
13;170;159;2020-07-19T15:08:20.107688
14;191;180;2020-07-19T15:09:08.727987
15;172;161;2020-07-19T15:09:55.258562
16;294;283;2020-07-19T15:10:55.338905
17;304;293;2020-07-19T15:11:56.592224
18;305;294;2020-07-19T15:12:57.991688
19;337;326;2020-07-19T15:14:02.939909
20;445;434;2020-07-19T15:15:19.701761
21;423;412;2020-07-19T15:16:34.244983
22;793;782;2020-07-19T15:18:30.055871
23;305;294;2020-07-19T15:19:30.190699
24;339;328;2020-07-19T15:20:35.267263
25;338;327;2020-07-19T15:21:39.635504
26;1000;1000;2020-07-19T15:23:58.011113
27;1000;1000;2020-07-19T15:26:16.938285
28;1000;1000;2020-07-19T15:28:35.915278
29;1000;1000;2020-07-19T15:30:55.084462
30;1000;1000;2020-07-19T15:33:14.206428
31;1000;1000;2020-07-19T15:35:33.150125
32;1000;1000;2020-07-19T15:37:50.248729
33;1000;1000;2020-07-19T15:40:07.425049
34;1000;1000;2020-07-19T15:42:26.523535
35;1000;1000;2020-07-19T15:44:45.741122
