Episode;Steps;Reward;Time
0;92;81;2020-07-19T19:11:38.190257
1;93;82;2020-07-19T19:11:51.396262
2;99;88;2020-07-19T19:12:05.270492
3;97;86;2020-07-19T19:12:18.929901
4;71;60;2020-07-19T19:12:29.738715
5;98;87;2020-07-19T19:12:43.801306
6;80;69;2020-07-19T19:13:20.248409
7;109;98;2020-07-19T19:13:49.328830
8;75;64;2020-07-19T19:14:13.757293
9;112;101;2020-07-19T19:14:53.978891
10;103;92;2020-07-19T19:15:29.883590
11;134;123;2020-07-19T19:16:12.478779
12;89;78;2020-07-19T19:16:45.946349
13;81;70;2020-07-19T19:17:19.932428
14;62;51;2020-07-19T19:17:52.954398
15;93;82;2020-07-19T19:18:31.084790
16;235;224;2020-07-19T19:19:25.270629
17;223;212;2020-07-19T19:20:18.275572
18;233;222;2020-07-19T19:21:12.431181
19;248;237;2020-07-19T19:22:08.171631
20;224;213;2020-07-19T19:23:01.140957
21;249;238;2020-07-19T19:23:56.826983
22;228;217;2020-07-19T19:24:49.970153
23;224;213;2020-07-19T19:25:42.559799
24;226;215;2020-07-19T19:26:35.683297
25;239;228;2020-07-19T19:27:30.050792
26;252;241;2020-07-19T19:28:19.961044
27;317;306;2020-07-19T19:29:23.476363
28;790;779;2020-07-19T19:31:20.122192
29;1000;1000;2020-07-19T19:33:39.830403
30;1000;1000;2020-07-19T19:35:59.358558
31;1000;1000;2020-07-19T19:38:18.436748
32;837;826;2020-07-19T19:40:20.025745
33;600;589;2020-07-19T19:41:55.280127
34;251;240;2020-07-19T19:42:51.093005
35;996;985;2020-07-19T19:45:09.140209
36;1000;1000;2020-07-19T19:47:29.516010
37;1000;1000;2020-07-19T19:49:50.071615
38;1000;1000;2020-07-19T19:52:10.203317
39;1000;1000;2020-07-19T19:54:30.083710
40;1000;1000;2020-07-19T19:56:50.356866
