Episode;Reward;Time
0;264;2020-07-09T16:36:23.500348
1;459;2020-07-09T16:36:52.948160
2;309;2020-07-09T16:37:14.135281
3;276;2020-07-09T16:37:33.480283
4;222;2020-07-09T16:37:49.740682
5;203;2020-07-09T16:38:06.131693
6;164;2020-07-09T16:38:44.099788
7;213;2020-07-09T16:39:25.028320
8;199;2020-07-09T16:40:05.374423
9;206;2020-07-09T16:40:46.170498
10;201;2020-07-09T16:41:26.681355
11;238;2020-07-09T16:42:04.495969
12;259;2020-07-09T16:42:36.705617
13;148;2020-07-09T16:43:02.148875
14;151;2020-07-09T16:43:27.731184
15;239;2020-07-09T16:44:10.735622
16;147;2020-07-09T16:44:47.769997
17;257;2020-07-09T16:45:31.723097
18;302;2020-07-09T16:46:17.793741
19;139;2020-07-09T16:46:54.782181
20;136;2020-07-09T16:47:30.482802
21;339;2020-07-09T16:48:19.367759
22;124;2020-07-09T16:48:55.565813
23;139;2020-07-09T16:49:32.663810
24;217;2020-07-09T16:50:14.020063
25;154;2020-07-09T16:50:51.932003
26;140;2020-07-09T16:51:28.708738
27;203;2020-07-09T16:52:09.534390
28;235;2020-07-09T16:52:52.251694
29;237;2020-07-09T16:53:32.414858
30;249;2020-07-09T16:54:16.111282
31;318;2020-07-09T16:55:03.730725
32;157;2020-07-09T16:55:41.545860
33;201;2020-07-09T16:56:22.285451
34;254;2020-07-09T16:57:06.272612
35;192;2020-07-09T16:57:46.350098
36;267;2020-07-09T16:58:31.080957
37;273;2020-07-09T16:59:16.146877
38;186;2020-07-09T16:59:55.526246
39;235;2020-07-09T17:00:37.879399
40;215;2020-07-09T17:01:19.199040
41;240;2020-07-09T17:02:02.208555
42;212;2020-07-09T17:02:43.504951
43;373;2020-07-09T17:03:34.129499
44;257;2020-07-09T17:04:17.630112
45;190;2020-07-09T17:04:57.621224
46;262;2020-07-09T17:05:41.952005
47;424;2020-07-09T17:06:35.789274
48;502;2020-07-09T17:07:34.431920
49;446;2020-07-09T17:08:29.499543
50;405;2020-07-09T17:09:22.470973
51;410;2020-07-09T17:10:15.811976
52;610;2020-07-09T17:11:20.972009
53;622;2020-07-09T17:12:26.758949
54;1000;2020-07-09T17:13:54.579760
55;605;2020-07-09T17:14:59.664201
56;1000;2020-07-09T17:16:27.389331
57;1000;2020-07-09T17:17:55.476050
58;1000;2020-07-09T17:19:22.595763
59;1000;2020-07-09T17:20:50.401596
60;1000;2020-07-09T17:22:14.746701
61;1000;2020-07-09T17:23:38.643065
62;1000;2020-07-09T17:25:04.237904
63;1000;2020-07-09T17:26:32.082242
64;572;2020-07-09T17:27:34.776483
65;966;2020-07-09T17:29:01.246845
66;963;2020-07-09T17:30:27.586398
67;986;2020-07-09T17:31:55.326355
68;1000;2020-07-09T17:33:23.301699
69;986;2020-07-09T17:34:50.991149
