Episode;Reward;Time
0;86;2020-07-12T05:29:05.632157
1;130;2020-07-12T05:29:24.010509
2;78;2020-07-12T05:29:36.731752
3;110;2020-07-12T05:29:53.041184
4;100;2020-07-12T05:30:08.262898
5;77;2020-07-12T05:30:21.069110
6;70;2020-07-12T05:31:00.769488
7;54;2020-07-12T05:31:40.140859
8;112;2020-07-12T05:32:23.759868
9;56;2020-07-12T05:32:59.052742
10;93;2020-07-12T05:33:42.178262
11;59;2020-07-12T05:34:20.457048
12;71;2020-07-12T05:35:01.391581
13;56;2020-07-12T05:35:38.909846
14;90;2020-07-12T05:36:21.929850
15;48;2020-07-12T05:36:58.966847
16;129;2020-07-12T05:37:44.026252
17;62;2020-07-12T05:38:23.980291
18;103;2020-07-12T05:39:03.742867
19;96;2020-07-12T05:39:38.625540
20;72;2020-07-12T05:40:16.224862
21;157;2020-07-12T05:41:06.217024
22;72;2020-07-12T05:41:47.758612
23;104;2020-07-12T05:42:31.427235
24;56;2020-07-12T05:43:11.341716
25;68;2020-07-12T05:43:48.945415
26;71;2020-07-12T05:44:29.121828
27;62;2020-07-12T05:45:06.509803
28;61;2020-07-12T05:45:43.823893
29;56;2020-07-12T05:46:21.237053
30;65;2020-07-12T05:47:02.041910
31;79;2020-07-12T05:47:43.269483
32;93;2020-07-12T05:48:18.199120
33;86;2020-07-12T05:49:00.621343
34;98;2020-07-12T05:49:43.892751
35;92;2020-07-12T05:50:24.509180
36;312;2020-07-12T05:51:32.712175
37;258;2020-07-12T05:52:34.165975
38;131;2020-07-12T05:53:19.786782
39;198;2020-07-12T05:54:14.509855
40;262;2020-07-12T05:55:14.915418
41;254;2020-07-12T05:56:16.559214
42;257;2020-07-12T05:57:18.173392
43;252;2020-07-12T05:58:17.642900
44;262;2020-07-12T05:59:17.750608
45;261;2020-07-12T06:00:19.506524
46;251;2020-07-12T06:01:20.366021
47;238;2020-07-12T06:02:18.596084
48;251;2020-07-12T06:03:19.860004
49;251;2020-07-12T06:04:20.897402
