Episode;Reward;Time
0;65;2020-07-11T23:27:48.795071
1;161;2020-07-11T23:28:10.589750
2;89;2020-07-11T23:28:24.702147
3;116;2020-07-11T23:28:41.692187
4;140;2020-07-11T23:29:01.339434
5;74;2020-07-11T23:29:13.862411
6;74;2020-07-11T23:29:52.553293
7;85;2020-07-11T23:30:29.598600
8;53;2020-07-11T23:31:04.358145
9;105;2020-07-11T23:31:46.110615
10;63;2020-07-11T23:32:23.038964
11;110;2020-07-11T23:33:04.690526
12;112;2020-07-11T23:33:47.257034
13;88;2020-07-11T23:34:26.997243
14;87;2020-07-11T23:35:06.197886
15;74;2020-07-11T23:35:44.402967
16;65;2020-07-11T23:36:19.579484
17;71;2020-07-11T23:36:57.020164
18;71;2020-07-11T23:37:32.906273
19;81;2020-07-11T23:38:10.402840
20;72;2020-07-11T23:38:44.655967
21;90;2020-07-11T23:39:22.602016
22;89;2020-07-11T23:40:03.372560
23;77;2020-07-11T23:40:41.350001
24;83;2020-07-11T23:41:20.079449
25;139;2020-07-11T23:42:06.075180
26;114;2020-07-11T23:42:47.913872
27;111;2020-07-11T23:43:29.477067
28;66;2020-07-11T23:44:07.646543
29;78;2020-07-11T23:44:43.892032
30;79;2020-07-11T23:45:19.271120
31;211;2020-07-11T23:46:10.773042
32;227;2020-07-11T23:47:06.440793
33;258;2020-07-11T23:48:05.157691
34;303;2020-07-11T23:49:05.602168
35;281;2020-07-11T23:50:08.054051
36;287;2020-07-11T23:51:08.406471
37;297;2020-07-11T23:52:05.339604
38;279;2020-07-11T23:52:59.662221
39;284;2020-07-11T23:54:02.324578
40;296;2020-07-11T23:55:03.448582
41;505;2020-07-11T23:56:30.025872
42;281;2020-07-11T23:57:30.485365
43;281;2020-07-11T23:58:32.775103
44;289;2020-07-11T23:59:35.753264
45;278;2020-07-12T00:00:36.731417
46;267;2020-07-12T00:01:36.403641
47;298;2020-07-12T00:02:39.936298
48;277;2020-07-12T00:03:41.201671
49;277;2020-07-12T00:04:39.613390
