Episode;Steps;Reward;Time
0;126;115;2020-07-20T00:25:05.381798
1;113;102;2020-07-20T00:25:20.834403
2;99;88;2020-07-20T00:25:34.747429
3;106;95;2020-07-20T00:25:49.452270
4;89;78;2020-07-20T00:26:02.274739
5;162;151;2020-07-20T00:26:23.593576
6;110;99;2020-07-20T00:26:49.905715
7;114;103;2020-07-20T00:27:17.717125
8;179;168;2020-07-20T00:27:54.716507
9;102;91;2020-07-20T00:28:22.710280
10;98;87;2020-07-20T00:28:50.646596
11;101;90;2020-07-20T00:29:18.952088
12;85;74;2020-07-20T00:29:42.805971
13;93;82;2020-07-20T00:30:08.864786
14;116;105;2020-07-20T00:30:37.802952
15;188;177;2020-07-20T00:31:15.782021
16;180;169;2020-07-20T00:31:51.355613
17;197;186;2020-07-20T00:32:29.784924
18;420;409;2020-07-20T00:33:32.258151
19;178;167;2020-07-20T00:34:08.378633
20;419;408;2020-07-20T00:35:12.755576
21;1000;1000;2020-07-20T00:37:22.865620
22;1000;1000;2020-07-20T00:39:32.621668
23;973;962;2020-07-20T00:41:39.400240
24;1000;1000;2020-07-20T00:43:49.253116
25;1000;1000;2020-07-20T00:45:59.095791
26;1000;1000;2020-07-20T00:48:07.811027
27;1000;1000;2020-07-20T00:50:17.690325
28;1000;1000;2020-07-20T00:52:25.805483
29;1000;1000;2020-07-20T00:54:35.297809
30;1000;1000;2020-07-20T00:56:43.715848
31;1000;1000;2020-07-20T00:58:49.939141
32;1000;1000;2020-07-20T01:00:59.294291
