Episode;Steps;Reward;Time
0;107;96;2020-07-19T21:20:49.359436
1;128;117;2020-07-19T21:21:06.406173
2;101;90;2020-07-19T21:21:20.561379
3;71;60;2020-07-19T21:21:31.368494
4;69;58;2020-07-19T21:21:41.981081
5;86;75;2020-07-19T21:21:54.772620
6;89;78;2020-07-19T21:22:20.790286
7;84;73;2020-07-19T21:22:46.171599
8;117;106;2020-07-19T21:23:15.295283
9;76;65;2020-07-19T21:23:38.883221
10;65;54;2020-07-19T21:24:02.090112
11;73;62;2020-07-19T21:24:26.075728
12;140;129;2020-07-19T21:24:57.734516
13;95;84;2020-07-19T21:25:24.134168
14;74;63;2020-07-19T21:25:48.247500
15;103;92;2020-07-19T21:26:15.688586
16;161;150;2020-07-19T21:26:49.836577
17;180;169;2020-07-19T21:27:26.281488
18;175;164;2020-07-19T21:28:02.040947
19;363;352;2020-07-19T21:28:58.965586
20;371;360;2020-07-19T21:29:56.856573
21;345;334;2020-07-19T21:30:50.057205
22;695;684;2020-07-19T21:32:19.036588
23;714;703;2020-07-19T21:33:55.817147
24;1000;1000;2020-07-19T21:36:04.732936
25;1000;1000;2020-07-19T21:38:13.389191
26;1000;1000;2020-07-19T21:40:22.409182
27;1000;1000;2020-07-19T21:42:29.680861
28;1000;1000;2020-07-19T21:44:38.186032
29;1000;1000;2020-07-19T21:46:46.503945
30;1000;1000;2020-07-19T21:48:55.078326
31;1000;1000;2020-07-19T21:51:03.324363
32;1000;1000;2020-07-19T21:53:11.240599
33;788;777;2020-07-19T21:54:55.270692
34;1000;1000;2020-07-19T21:57:02.996542
