Episode;Steps;Reward;Time
0;91;80;2020-07-19T13:38:14.487074
1;104;93;2020-07-19T13:38:28.922678
2;102;91;2020-07-19T13:38:43.133816
3;96;85;2020-07-19T13:38:56.687263
4;109;98;2020-07-19T13:39:11.664123
5;108;97;2020-07-19T13:39:26.865921
6;107;96;2020-07-19T13:39:55.812930
7;86;75;2020-07-19T13:40:21.861654
8;76;65;2020-07-19T13:40:47.417780
9;78;67;2020-07-19T13:41:12.765410
10;82;71;2020-07-19T13:41:37.618772
11;110;99;2020-07-19T13:42:07.051044
12;87;76;2020-07-19T13:42:31.524198
13;85;74;2020-07-19T13:42:57.760159
14;90;79;2020-07-19T13:43:23.865338
15;83;72;2020-07-19T13:43:49.491338
16;213;202;2020-07-19T13:44:29.119774
17;188;177;2020-07-19T13:45:06.619441
18;221;210;2020-07-19T13:45:48.155237
19;221;210;2020-07-19T13:46:30.140178
20;165;154;2020-07-19T13:46:59.851979
21;795;784;2020-07-19T13:48:45.183676
22;234;223;2020-07-19T13:49:27.902787
23;233;222;2020-07-19T13:50:10.567315
24;942;931;2020-07-19T13:52:13.282002
25;1000;1000;2020-07-19T13:54:22.944768
26;1000;1000;2020-07-19T13:56:32.038581
27;1000;1000;2020-07-19T13:58:40.365719
28;474;463;2020-07-19T13:59:45.273594
29;1000;1000;2020-07-19T14:01:53.675107
30;1000;1000;2020-07-19T14:04:02.888819
31;1000;1000;2020-07-19T14:06:12.214726
32;1000;1000;2020-07-19T14:08:21.356873
33;1000;1000;2020-07-19T14:10:30.534660
34;1000;1000;2020-07-19T14:12:39.560163
35;1000;1000;2020-07-19T14:14:47.969893
