Episode;Steps;Reward;Time
0;103;92;2020-07-19T22:34:43.099514
1;124;113;2020-07-19T22:34:59.724686
2;170;159;2020-07-19T22:35:21.389428
3;100;89;2020-07-19T22:35:35.378852
4;148;137;2020-07-19T22:35:54.801598
5;156;145;2020-07-19T22:36:15.470314
6;78;67;2020-07-19T22:36:39.798351
7;127;116;2020-07-19T22:37:09.883887
8;99;88;2020-07-19T22:37:36.235466
9;89;78;2020-07-19T22:38:02.251342
10;75;64;2020-07-19T22:38:26.724153
11;206;195;2020-07-19T22:39:06.026785
12;89;78;2020-07-19T22:39:30.906751
13;189;178;2020-07-19T22:40:08.818982
14;145;134;2020-07-19T22:40:40.962222
15;191;180;2020-07-19T22:41:18.012634
16;160;149;2020-07-19T22:41:51.982476
17;209;198;2020-07-19T22:42:29.186178
18;194;183;2020-07-19T22:43:06.878098
19;169;158;2020-07-19T22:43:41.594725
20;1000;1000;2020-07-19T22:45:50.759910
21;365;354;2020-07-19T22:46:47.924113
22;1000;1000;2020-07-19T22:48:57.720603
23;911;900;2020-07-19T22:50:57.557470
24;1000;1000;2020-07-19T22:53:06.839880
25;1000;1000;2020-07-19T22:55:16.345504
26;1000;1000;2020-07-19T22:57:24.639332
27;1000;1000;2020-07-19T22:59:33.724546
28;331;320;2020-07-19T23:00:26.143803
29;1000;1000;2020-07-19T23:02:35.086512
30;1000;1000;2020-07-19T23:04:44.206502
31;1000;1000;2020-07-19T23:06:52.867862
32;1000;1000;2020-07-19T23:09:01.560125
33;1000;1000;2020-07-19T23:11:10.105701
