Episode;Steps;Reward;Time
0;92;81;2020-07-19T23:11:29.933960
1;142;131;2020-07-19T23:11:48.531310
2;95;84;2020-07-19T23:12:02.033737
3;89;78;2020-07-19T23:12:14.894267
4;131;120;2020-07-19T23:12:32.300506
5;156;145;2020-07-19T23:12:52.870268
6;91;80;2020-07-19T23:13:19.144436
7;82;71;2020-07-19T23:13:44.744386
8;85;74;2020-07-19T23:14:10.718988
9;106;95;2020-07-19T23:14:38.832909
10;89;78;2020-07-19T23:15:05.010091
11;98;87;2020-07-19T23:15:32.218349
12;115;104;2020-07-19T23:16:01.265522
13;206;195;2020-07-19T23:16:40.891057
14;212;201;2020-07-19T23:17:21.059481
15;296;285;2020-07-19T23:18:10.890321
16;342;331;2020-07-19T23:19:05.586514
17;183;172;2020-07-19T23:19:42.620279
18;1000;1000;2020-07-19T23:21:50.363375
19;705;694;2020-07-19T23:23:26.378123
20;401;390;2020-07-19T23:24:27.663389
21;226;215;2020-07-19T23:25:09.328788
22;203;192;2020-07-19T23:25:48.523295
23;422;411;2020-07-19T23:26:52.785170
24;1000;1000;2020-07-19T23:29:02.049572
25;653;642;2020-07-19T23:30:31.836676
26;1000;1000;2020-07-19T23:32:40.785038
27;1000;1000;2020-07-19T23:34:50.013558
28;1000;1000;2020-07-19T23:36:59.032525
29;1000;1000;2020-07-19T23:39:06.793499
30;1000;1000;2020-07-19T23:41:15.813024
31;1000;1000;2020-07-19T23:43:24.723083
32;1000;1000;2020-07-19T23:45:33.115584
33;1000;1000;2020-07-19T23:47:39.338099
