Episode;Steps;Reward;Time
0;148;137;2020-07-19T13:02:14.563149
1;76;65;2020-07-19T13:02:25.909627
2;142;131;2020-07-19T13:02:44.485753
3;107;96;2020-07-19T13:02:59.205244
4;127;116;2020-07-19T13:03:16.143840
5;89;78;2020-07-19T13:03:29.177837
6;108;97;2020-07-19T13:03:56.915647
7;187;176;2020-07-19T13:04:33.993301
8;101;90;2020-07-19T13:04:55.270524
9;102;91;2020-07-19T13:05:21.119296
10;160;149;2020-07-19T13:05:53.467957
11;180;169;2020-07-19T13:06:30.004357
12;147;136;2020-07-19T13:07:03.003203
13;168;157;2020-07-19T13:07:38.107680
14;200;189;2020-07-19T13:08:17.095851
15;130;119;2020-07-19T13:08:45.903296
16;293;282;2020-07-19T13:09:35.478310
17;222;211;2020-07-19T13:10:16.301806
18;352;341;2020-07-19T13:11:11.824304
19;189;178;2020-07-19T13:11:49.338067
20;782;771;2020-07-19T13:13:33.523186
21;545;534;2020-07-19T13:14:51.490419
22;1000;1000;2020-07-19T13:17:00.091656
23;1000;1000;2020-07-19T13:19:06.288569
24;818;807;2020-07-19T13:20:53.299125
25;811;800;2020-07-19T13:22:40.251576
26;1000;1000;2020-07-19T13:24:48.516841
27;1000;1000;2020-07-19T13:26:56.465055
28;800;789;2020-07-19T13:28:42.977428
29;398;387;2020-07-19T13:29:44.549594
30;786;775;2020-07-19T13:31:29.393895
31;1000;1000;2020-07-19T13:33:38.730540
32;1000;1000;2020-07-19T13:35:46.458993
33;1000;1000;2020-07-19T13:37:55.196017
