Episode;Steps;Reward;Time
0;75;64;2020-07-19T14:15:05.827816
1;104;93;2020-07-19T14:15:20.260107
2;132;121;2020-07-19T14:15:37.775282
3;68;57;2020-07-19T14:15:48.268397
4;124;113;2020-07-19T14:16:04.911674
5;181;170;2020-07-19T14:16:28.313059
6;168;157;2020-07-19T14:17:04.340044
7;148;137;2020-07-19T14:17:37.504395
8;91;80;2020-07-19T14:18:04.940428
9;148;137;2020-07-19T14:18:36.828374
10;132;121;2020-07-19T14:19:06.833254
11;115;104;2020-07-19T14:19:36.994525
12;131;120;2020-07-19T14:20:08.885777
13;347;336;2020-07-19T14:21:03.875154
14;92;81;2020-07-19T14:21:30.819266
15;113;102;2020-07-19T14:22:00.966451
16;187;176;2020-07-19T14:22:39.077508
17;84;73;2020-07-19T14:23:05.779593
18;98;87;2020-07-19T14:23:33.685647
19;215;204;2020-07-19T14:24:14.973894
20;183;172;2020-07-19T14:24:50.404838
21;337;326;2020-07-19T14:25:45.021933
22;766;755;2020-07-19T14:27:28.135724
23;378;367;2020-07-19T14:28:26.341238
24;377;366;2020-07-19T14:29:25.574902
25;880;869;2020-07-19T14:31:22.004382
26;191;180;2020-07-19T14:32:00.695974
27;867;856;2020-07-19T14:33:55.408106
28;859;848;2020-07-19T14:35:48.995612
29;870;859;2020-07-19T14:37:44.422731
30;1000;1000;2020-07-19T14:39:54.649954
31;1000;1000;2020-07-19T14:42:03.920299
32;1000;1000;2020-07-19T14:44:12.920614
33;1000;1000;2020-07-19T14:46:22.758017
34;1000;1000;2020-07-19T14:48:32.085101
35;1000;1000;2020-07-19T14:50:42.050418
36;1000;1000;2020-07-19T14:52:50.971946
