Episode;Steps;Reward;Time
0;35;24;2020-07-19T00:02:32.523759
1;33;22;2020-07-19T00:02:43.418777
2;33;22;2020-07-19T00:02:55.335568
3;66;55;2020-07-19T00:03:07.421154
4;39;28;2020-07-19T00:03:20.048881
5;38;27;2020-07-19T00:03:31.025336
6;30;19;2020-07-19T00:04:01.668231
7;24;13;2020-07-19T00:04:31.600985
8;49;38;2020-07-19T00:05:04.271694
9;27;16;2020-07-19T00:05:25.492522
10;42;31;2020-07-19T00:05:46.369630
11;45;34;2020-07-19T00:06:08.064946
12;41;30;2020-07-19T00:06:29.724861
13;26;15;2020-07-19T00:06:59.770501
14;43;32;2020-07-19T00:07:31.665967
15;53;42;2020-07-19T00:08:04.762096
16;62;51;2020-07-19T00:08:38.576742
17;58;47;2020-07-19T00:09:11.029820
18;59;48;2020-07-19T00:09:35.304500
19;54;43;2020-07-19T00:10:07.699567
20;60;49;2020-07-19T00:10:41.501804
21;68;57;2020-07-19T00:11:16.300107
22;60;49;2020-07-19T00:11:50.062474
23;59;48;2020-07-19T00:12:23.725507
24;62;51;2020-07-19T00:12:57.729388
25;42;31;2020-07-19T00:13:27.742777
26;62;51;2020-07-19T00:13:49.426450
27;60;49;2020-07-19T00:14:16.402695
28;63;52;2020-07-19T00:14:38.187374
29;65;54;2020-07-19T00:15:05.642646
30;61;50;2020-07-19T00:15:39.568954
31;63;52;2020-07-19T00:16:13.532762
32;59;48;2020-07-19T00:16:47.143995
33;57;46;2020-07-19T00:17:20.785463
34;40;29;2020-07-19T00:17:52.540388
35;52;41;2020-07-19T00:18:28.707467
36;53;42;2020-07-19T00:19:01.898581
37;59;48;2020-07-19T00:19:35.512323
38;45;34;2020-07-19T00:20:07.742865
39;67;56;2020-07-19T00:20:38.208627
40;68;57;2020-07-19T00:21:13.063372
41;75;64;2020-07-19T00:21:48.634602
42;70;59;2020-07-19T00:22:22.802204
43;70;59;2020-07-19T00:22:57.772870
44;82;71;2020-07-19T00:23:34.181485
45;94;83;2020-07-19T00:24:05.315945
46;66;55;2020-07-19T00:24:39.372652
47;65;54;2020-07-19T00:25:13.653182
48;75;64;2020-07-19T00:25:49.027787
49;63;52;2020-07-19T00:26:23.365586
50;55;44;2020-07-19T00:26:56.621792
51;34;23;2020-07-19T00:27:22.088577
52;89;78;2020-07-19T00:27:51.228509
53;116;105;2020-07-19T00:28:26.448719
54;64;53;2020-07-19T00:29:00.580051
55;58;47;2020-07-19T00:29:34.243053
56;99;88;2020-07-19T00:30:12.331861
57;217;206;2020-07-19T00:31:03.120813
58;500;500;2020-07-19T00:32:25.280114
59;500;500;2020-07-19T00:33:47.933447
60;84;73;2020-07-19T00:34:24.592077
61;413;402;2020-07-19T00:35:37.291237
62;376;365;2020-07-19T00:36:46.189467
63;500;500;2020-07-19T00:38:08.487123
64;500;500;2020-07-19T00:39:30.681119
65;500;500;2020-07-19T00:40:53.160802
66;500;500;2020-07-19T00:42:15.653263
67;500;500;2020-07-19T00:43:33.141954
68;500;500;2020-07-19T00:44:55.340520
69;500;500;2020-07-19T00:46:17.636347
70;500;500;2020-07-19T00:47:39.869303
71;500;500;2020-07-19T00:49:05.667408
72;500;500;2020-07-19T00:50:26.154793
