Episode;Steps;Reward;Time
0;39;28;2020-07-18T22:34:08.814670
1;34;23;2020-07-18T22:34:24.979161
2;32;21;2020-07-18T22:34:34.047527
3;36;25;2020-07-18T22:34:43.720304
4;53;42;2020-07-18T22:34:55.953430
5;26;15;2020-07-18T22:35:10.652899
6;58;47;2020-07-18T22:35:46.431498
7;35;24;2020-07-18T22:36:17.823243
8;70;59;2020-07-18T22:36:52.677224
9;76;65;2020-07-18T22:37:28.384948
10;39;28;2020-07-18T22:37:59.993445
11;48;37;2020-07-18T22:38:32.683520
12;25;14;2020-07-18T22:39:02.730355
13;24;13;2020-07-18T22:39:32.527614
14;25;14;2020-07-18T22:40:02.512987
15;48;37;2020-07-18T22:40:34.938935
16;51;40;2020-07-18T22:41:07.964186
17;60;49;2020-07-18T22:41:41.927447
18;62;51;2020-07-18T22:42:16.048896
19;51;40;2020-07-18T22:42:48.881891
20;41;30;2020-07-18T22:43:20.710680
21;69;58;2020-07-18T22:43:55.586179
22;67;56;2020-07-18T22:44:30.334451
23;70;59;2020-07-18T22:45:05.414928
24;67;56;2020-07-18T22:45:40.143359
25;56;45;2020-07-18T22:46:13.564325
26;57;46;2020-07-18T22:46:47.119216
27;63;52;2020-07-18T22:47:30.283803
28;76;65;2020-07-18T22:48:05.984574
29;83;72;2020-07-18T22:48:42.312888
30;88;77;2020-07-18T22:49:19.332276
31;67;56;2020-07-18T22:49:59.105526
32;103;92;2020-07-18T22:50:37.789144
33;59;48;2020-07-18T22:51:11.657362
34;57;46;2020-07-18T22:51:44.864537
35;60;49;2020-07-18T22:52:18.784045
36;39;28;2020-07-18T22:52:50.407778
37;87;76;2020-07-18T22:53:27.228554
38;105;94;2020-07-18T22:54:06.098937
39;279;268;2020-07-18T22:55:03.792899
40;500;500;2020-07-18T22:56:26.563214
41;500;500;2020-07-18T22:57:52.686132
42;500;500;2020-07-18T22:59:14.908279
43;500;500;2020-07-18T23:00:35.419377
44;74;63;2020-07-18T23:01:12.617434
45;500;500;2020-07-18T23:02:22.552091
46;500;500;2020-07-18T23:03:32.664003
47;500;500;2020-07-18T23:04:58.150729
48;120;109;2020-07-18T23:05:34.378320
49;500;500;2020-07-18T23:06:56.830504
50;500;500;2020-07-18T23:08:19.382002
51;500;500;2020-07-18T23:09:41.509780
52;500;500;2020-07-18T23:11:03.884420
53;500;500;2020-07-18T23:12:16.476187
54;500;500;2020-07-18T23:13:39.065898
55;500;500;2020-07-18T23:15:01.310023
56;500;500;2020-07-18T23:16:23.623749
