Episode;Steps;Reward;Time
0;133;122;2020-07-18T16:56:35.833752
1;175;164;2020-07-18T16:56:58.268133
2;92;81;2020-07-18T16:57:11.484398
3;163;152;2020-07-18T16:57:32.607895
4;110;99;2020-07-18T16:57:47.806322
5;143;132;2020-07-18T16:58:07.172856
6;167;156;2020-07-18T16:58:46.663606
7;88;77;2020-07-18T16:59:26.163144
8;83;72;2020-07-18T17:00:04.345740
9;78;67;2020-07-18T17:00:41.814364
10;76;65;2020-07-18T17:01:20.193052
11;143;132;2020-07-18T17:02:05.595896
12;112;101;2020-07-18T17:02:48.286706
13;141;130;2020-07-18T17:03:33.566949
14;150;139;2020-07-18T17:04:19.718524
15;178;167;2020-07-18T17:05:08.892348
16;221;210;2020-07-18T17:06:01.411798
17;257;246;2020-07-18T17:06:58.734973
18;371;360;2020-07-18T17:08:10.371514
19;677;666;2020-07-18T17:09:56.859534
20;1000;1000;2020-07-18T17:12:18.981419
21;341;330;2020-07-18T17:13:27.045964
22;677;666;2020-07-18T17:15:13.835429
23;288;277;2020-07-18T17:16:12.580552
24;637;626;2020-07-18T17:17:54.087438
25;1000;1000;2020-07-18T17:20:17.587502
26;1000;1000;2020-07-18T17:22:38.834835
27;1000;1000;2020-07-18T17:25:01.344405
28;1000;1000;2020-07-18T17:27:23.452491
29;1000;1000;2020-07-18T17:29:44.754929
30;1000;1000;2020-07-18T17:32:06.179215
31;1000;1000;2020-07-18T17:34:28.643703
32;1000;1000;2020-07-18T17:36:50.548733
33;1000;1000;2020-07-18T17:39:13.270368
