Episode;Steps;Reward;Time
0;161;150;2020-07-18T10:58:34.452347
1;133;122;2020-07-18T10:58:53.006119
2;106;95;2020-07-18T10:59:08.601185
3;118;107;2020-07-18T10:59:25.524967
4;58;47;2020-07-18T10:59:35.889201
5;69;58;2020-07-18T10:59:47.653490
6;108;97;2020-07-18T11:00:28.152268
7;76;65;2020-07-18T11:01:04.889103
8;64;53;2020-07-18T11:01:40.404033
9;64;53;2020-07-18T11:02:15.962059
10;66;55;2020-07-18T11:02:51.587520
11;69;58;2020-07-18T11:03:18.544083
12;111;100;2020-07-18T11:03:46.843110
13;101;90;2020-07-18T11:04:14.006983
14;134;123;2020-07-18T11:04:44.840878
15;150;139;2020-07-18T11:05:17.513140
16;169;158;2020-07-18T11:05:58.815449
17;147;136;2020-07-18T11:06:43.619302
18;169;158;2020-07-18T11:07:30.884983
19;156;145;2020-07-18T11:08:16.515289
20;179;168;2020-07-18T11:09:04.954118
21;190;179;2020-07-18T11:09:54.637359
22;167;156;2020-07-18T11:10:41.644533
23;189;178;2020-07-18T11:11:25.593558
24;159;148;2020-07-18T11:12:11.595192
25;193;182;2020-07-18T11:12:51.808398
26;171;160;2020-07-18T11:13:26.800831
27;184;173;2020-07-18T11:14:03.177070
28;344;333;2020-07-18T11:15:05.076924
29;351;340;2020-07-18T11:16:12.737695
30;267;256;2020-07-18T11:17:10.985258
31;257;246;2020-07-18T11:18:05.528113
32;271;260;2020-07-18T11:19:04.327971
33;663;652;2020-07-18T11:20:46.885743
34;288;277;2020-07-18T11:21:47.566955
35;1000;1000;2020-07-18T11:24:08.065229
36;647;636;2020-07-18T11:25:40.780073
37;1000;1000;2020-07-18T11:28:01.472096
38;1000;1000;2020-07-18T11:30:21.999344
39;1000;1000;2020-07-18T11:32:42.503579
40;1000;1000;2020-07-18T11:35:02.502722
41;1000;1000;2020-07-18T11:37:22.954001
42;1000;1000;2020-07-18T11:39:43.257255
43;1000;1000;2020-07-18T11:42:03.765304
44;1000;1000;2020-07-18T11:44:24.065356
