Episode;Steps;Reward;Time
0;176;165;2020-07-18T12:28:13.262134
1;76;65;2020-07-18T12:28:25.626244
2;106;95;2020-07-18T12:28:41.281853
3;123;112;2020-07-18T12:28:58.810553
4;116;105;2020-07-18T12:29:15.571358
5;82;71;2020-07-18T12:29:28.852422
6;65;54;2020-07-18T12:30:01.891303
7;125;114;2020-07-18T12:30:35.187977
8;99;88;2020-07-18T12:31:04.235184
9;64;53;2020-07-18T12:31:35.374815
10;67;56;2020-07-18T12:32:11.489320
11;120;109;2020-07-18T12:32:53.482107
12;67;56;2020-07-18T12:33:18.869246
13;87;76;2020-07-18T12:33:47.978842
14;71;60;2020-07-18T12:34:24.013490
15;86;75;2020-07-18T12:35:00.414811
16;126;115;2020-07-18T12:35:42.619835
17;162;151;2020-07-18T12:36:27.368563
18;202;191;2020-07-18T12:37:17.746988
19;213;202;2020-07-18T12:38:10.450679
20;250;239;2020-07-18T12:39:04.699634
21;197;186;2020-07-18T12:39:50.203085
22;187;176;2020-07-18T12:40:37.893818
23;245;234;2020-07-18T12:41:32.462673
24;242;231;2020-07-18T12:42:27.384465
25;230;219;2020-07-18T12:43:20.846430
26;247;236;2020-07-18T12:44:15.364889
27;229;218;2020-07-18T12:45:07.714307
28;210;199;2020-07-18T12:45:59.890481
29;271;260;2020-07-18T12:46:56.756012
30;255;244;2020-07-18T12:47:53.912504
31;265;254;2020-07-18T12:48:50.824964
32;349;338;2020-07-18T12:49:58.081432
33;258;247;2020-07-18T12:50:52.738950
34;1000;1000;2020-07-18T12:53:09.495723
35;564;553;2020-07-18T12:54:41.465763
36;587;576;2020-07-18T12:56:16.008494
37;1000;1000;2020-07-18T12:58:25.481181
38;1000;1000;2020-07-18T13:00:46.354215
39;1000;1000;2020-07-18T13:03:07.217438
40;1000;1000;2020-07-18T13:05:28.056176
41;1000;1000;2020-07-18T13:07:45.621837
42;1000;1000;2020-07-18T13:10:06.573681
43;1000;1000;2020-07-18T13:12:26.966222
44;1000;1000;2020-07-18T13:14:47.676747
