Episode;Steps;Reward;Time
0;80;69;2020-07-18T11:44:43.505701
1;69;58;2020-07-18T11:44:55.094860
2;118;107;2020-07-18T11:45:12.059150
3;142;131;2020-07-18T11:45:31.666765
4;89;78;2020-07-18T11:45:45.455148
5;61;50;2020-07-18T11:45:56.343110
6;181;170;2020-07-18T11:46:44.194374
7;90;79;2020-07-18T11:47:21.227110
8;73;62;2020-07-18T11:47:57.222521
9;130;119;2020-07-18T11:48:40.215677
10;72;61;2020-07-18T11:49:16.182045
11;151;140;2020-07-18T11:50:01.494828
12;164;153;2020-07-18T11:50:48.338457
13;99;88;2020-07-18T11:51:26.986595
14;89;78;2020-07-18T11:52:05.072643
15;185;174;2020-07-18T11:52:54.277947
16;120;109;2020-07-18T11:53:34.948931
17;283;272;2020-07-18T11:54:34.864168
18;184;173;2020-07-18T11:55:23.908502
19;319;308;2020-07-18T11:56:28.218509
20;197;186;2020-07-18T11:57:18.718782
21;124;113;2020-07-18T11:58:01.080656
22;663;652;2020-07-18T11:59:44.125588
23;583;572;2020-07-18T12:01:18.092704
24;628;617;2020-07-18T12:02:53.141784
25;1000;1000;2020-07-18T12:05:13.946406
26;620;609;2020-07-18T12:06:51.797187
27;1000;1000;2020-07-18T12:09:12.494054
28;1000;1000;2020-07-18T12:11:33.376699
29;1000;1000;2020-07-18T12:13:53.989510
30;1000;1000;2020-07-18T12:16:14.217477
31;1000;1000;2020-07-18T12:18:34.563739
32;1000;1000;2020-07-18T12:20:55.295809
33;1000;1000;2020-07-18T12:23:15.932494
34;1000;1000;2020-07-18T12:25:35.192022
35;1000;1000;2020-07-18T12:27:43.336969
