Episode;Steps;Reward;Time
0;74;63;2020-07-18T14:41:38.545001
1;63;52;2020-07-18T14:41:49.485809
2;129;118;2020-07-18T14:42:07.684792
3;129;118;2020-07-18T14:42:25.898335
4;75;64;2020-07-18T14:42:38.165081
5;94;83;2020-07-18T14:42:52.809759
6;82;71;2020-07-18T14:43:31.159472
7;59;48;2020-07-18T14:44:06.409173
8;91;80;2020-07-18T14:44:45.048613
9;157;146;2020-07-18T14:45:31.743315
10;140;129;2020-07-18T14:46:16.299410
11;154;143;2020-07-18T14:46:54.916308
12;116;105;2020-07-18T14:47:37.053697
13;97;86;2020-07-18T14:48:16.790039
14;79;68;2020-07-18T14:48:48.279876
15;217;206;2020-07-18T14:49:32.741598
16;156;145;2020-07-18T14:50:19.373993
17;187;176;2020-07-18T14:51:09.126076
18;208;197;2020-07-18T14:52:01.577623
19;506;495;2020-07-18T14:53:27.447004
20;334;323;2020-07-18T14:54:31.913141
21;206;195;2020-07-18T14:55:18.527796
22;1000;1000;2020-07-18T14:57:40.539500
23;1000;1000;2020-07-18T15:00:02.340205
24;611;600;2020-07-18T15:01:40.386870
25;1000;1000;2020-07-18T15:04:01.707903
26;1000;1000;2020-07-18T15:06:23.757462
27;1000;1000;2020-07-18T15:08:45.387129
28;1000;1000;2020-07-18T15:11:04.876449
29;1000;1000;2020-07-18T15:13:23.535484
30;1000;1000;2020-07-18T15:15:45.022403
31;1000;1000;2020-07-18T15:18:04.726547
32;1000;1000;2020-07-18T15:20:24.238682
33;1000;1000;2020-07-18T15:22:44.332104
34;1000;1000;2020-07-18T15:25:02.956747
