Episode;Steps;Reward;Time
0;64;53;2020-07-18T17:10:46.036513
1;33;21;2020-07-18T17:11:05.930439
2;27;15;2020-07-18T17:11:19.460433
3;35;23;2020-07-18T17:11:36.307894
4;100;88;2020-07-18T17:11:56.799837
5;49;37;2020-07-18T17:12:17.786982
6;32;21;2020-07-18T17:12:54.873652
7;55;43;2020-07-18T17:13:29.147290
8;33;21;2020-07-18T17:13:56.959024
9;46;34;2020-07-18T17:14:30.414645
10;26;14;2020-07-18T17:15:01.010010
11;144;132;2020-07-18T17:15:41.197830
12;42;30;2020-07-18T17:16:13.370342
13;44;32;2020-07-18T17:16:49.512966
14;75;63;2020-07-18T17:17:23.066126
15;71;59;2020-07-18T17:17:58.088650
16;63;51;2020-07-18T17:18:39.126160
17;67;55;2020-07-18T17:19:18.863010
18;80;68;2020-07-18T17:20:00.779982
19;36;24;2020-07-18T17:20:35.638035
20;43;31;2020-07-18T17:21:07.251055
21;81;69;2020-07-18T17:21:43.323280
22;106;94;2020-07-18T17:22:25.065598
23;86;74;2020-07-18T17:22:57.779110
24;71;59;2020-07-18T17:23:31.530017
25;81;69;2020-07-18T17:24:07.513134
26;54;42;2020-07-18T17:24:40.606355
27;101;89;2020-07-18T17:25:18.947742
28;55;43;2020-07-18T17:26:04.583857
29;86;74;2020-07-18T17:26:41.585205
30;98;86;2020-07-18T17:27:20.683253
